% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +7.727222394e+02 +7.727222394e+02 +8.884022394e+02 +8.884022394e+02 +4.8978e-01 -2.4595e+00 -3.9962e+00 -3.8668e+00 +6.2061e-01 -3.3698e-01 +5.3809e-02 +2.3248e+00 +7.5750e-01 -4.6249e+00 -3.8796e+00 +1.2507e+00 -3.2903e+00 +7.4277e-01 -1.8669e+00 -3.2783e+00 -5.6479e-02 +2.4514e+00 +4.2405e+00 +4.8140e-01
142 +6.200396727e+02 +6.200396727e+02 +7.357196727e+02 +7.357196727e+02 -5.7437e-02 -3.2267e+00 -3.5468e+00 -4.8942e-01 -5.0000e+00 +1.0825e+00 +1.8314e+00 +1.1913e+00 +6.5280e-01 +3.7719e-01 +2.6110e+00 -1.8679e+00 -2.4419e+00 +2.0378e+00 -1.6687e+00 +8.8941e-01 -1.3276e+00 +1.4415e+00 +1.0814e+00 -1.3472e+00
202 +3.820714544e+02 +3.820714544e+02 +4.977514544e+02 +4.977514544e+02 -7.6389e-01 -3.3840e+00 -2.5517e+00 +2.0582e+00 -2.7578e+00 -2.5442e+00 +1.9249e+00 +1.7429e+00 -1.7408e+00 -1.8509e+00 +1.5590e+00 -2.8542e+00 -2.1874e+00 +6.6442e-01 -3.5793e+00 -1.8592e+00 +1.1223e+00 +2.4714e+00 +2.0372e+00 +2.0360e-01
919 +2.361162818e+02 +2.361162818e+02 +3.517962818e+02 +3.517962818e+02 -1.4688e+00 -9.6800e-01 -4.2434e+00 +4.1960e+00 -4.2353e+00 -3.1388e+00 +1.2378e-01 +3.4440e+00 -2.7891e+00 +1.9400e-01 +2.5835e+00 -2.9230e+00 -3.9491e+00 +1.5190e+00 -3.2897e+00 -7.9878e-01 -3.9904e-01 +3.8652e+00 +4.5679e+00 -8.5666e-01
1914 +1.513185093e+02 +1.513185093e+02 +2.669985093e+02 +2.669985093e+02 -3.1510e+00 -1.0169e+00 -1.4706e+00 +3.5939e+00 -4.4311e+00 -3.5290e+00 -3.8285e-01 +2.8957e+00 -3.2633e+00 -3.1818e+00 +3.3943e+00 -2.7817e+00 -3.0588e+00 +7.2519e-01 -1.6793e+00 -7.3579e-01 -7.8048e-01 +3.5279e+00 +3.0580e+00 -2.1514e-01
2843 +8.177731937e+01 +8.177731937e+01 +1.974573194e+02 +1.974573194e+02 -3.2565e+00 -1.0584e+00 -2.1658e+00 +3.1710e+00 -4.4946e+00 -3.1706e+00 -2.7591e+00 +2.9579e+00 -4.3726e+00 -3.0047e+00 +3.1800e+00 -2.2889e+00 -3.3686e+00 +7.3203e-01 -1.9515e+00 -7.1026e-01 -8.7114e-01 +3.5182e+00 +3.8109e+00 -5.3507e-01
3708 +6.254069772e+01 +6.254069772e+01 +1.782206977e+02 +1.782206977e+02 -3.2574e+00 -1.0603e+00 -2.3552e+00 +3.1334e+00 -4.4555e+00 -3.1587e+00 -2.7651e+00 +2.9592e+00 -4.3321e+00 -3.0184e+00 +3.2168e+00 -2.2622e+00 -3.3689e+00 +7.3952e-01 -2.0500e+00 -7.1484e-01 -8.5854e-01 +3.5174e+00 +3.7684e+00 -5.0255e-01
4871 +3.942549000e+01 +3.942549000e+01 +1.551054900e+02 +1.551054900e+02 -3.2044e+00 -1.0569e+00 -2.3846e+00 +3.1153e+00 -4.4754e+00 -3.1751e+00 -2.7349e+00 +2.9694e+00 -4.5518e+00 -3.0872e+00 +3.2768e+00 -2.3436e+00 -3.3691e+00 +7.3921e-01 -2.0767e+00 -7.1779e-01 -8.3997e-01 +3.5257e+00 +3.8065e+00 -5.3305e-01
6482 +2.498977239e+01 +2.498977239e+01 +1.406697724e+02 +1.406697724e+02 -3.1929e+00 -9.5682e-01 +3.2852e-01 +3.1379e+00 -4.3651e+00 -3.2128e+00 -2.7879e+00 +2.9621e+00 -4.5736e+00 -3.0575e+00 +3.2929e+00 -2.3216e+00 -3.3546e+00 +7.1334e-01 -2.0363e+00 -7.3666e-01 -7.8165e-01 +3.5043e+00 +3.8492e+00 -5.6751e-01
11273 +1.580848048e+01 +1.580848048e+01 +1.314884805e+02 +1.314884805e+02 -3.1817e+00 -9.5745e-01 +2.4136e-01 +3.1069e+00 -4.4251e+00 -3.2102e+00 -2.7758e+00 +2.9917e+00 -4.5864e+00 -3.0464e+00 +3.2536e+00 -2.2968e+00 -3.3711e+00 +6.7425e-01 -2.0671e+00 -7.1890e-01 -8.1262e-01 +3.4956e+00 +3.8247e+00 -5.4504e-01
