% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
144 +5.547834039e+01 +5.547834039e+01 +5.708783404e+02 +5.708783404e+02 +8.0535e-01 +3.1747e+00 +2.4965e+00 +0.0000e+00 -7.0376e-01 -1.7196e+00 -1.5927e+00 -7.5879e-02 -4.2818e-01 -3.8945e+00 +2.9008e+00 +5.9546e-01 -2.6409e+00 +1.0793e+00 +3.8174e+00 -2.0752e+00 +1.1064e+00 -3.3222e+00 -5.0000e+00 +2.5589e+00
226 +3.770953862e+01 +3.770953862e+01 +5.531095386e+02 +5.531095386e+02 -3.1908e-01 +4.0126e+00 +2.3127e+00 -1.2463e+00 -9.4715e-01 -1.5745e+00 -4.9372e+00 -1.5946e-01 -3.2537e+00 -3.3850e+00 +2.2362e+00 +1.6472e+00 -2.2647e+00 +1.1167e+00 +6.7502e-01 +7.9156e-01 +1.3404e+00 -1.6084e+00 -4.8552e+00 +2.6855e+00
563 +2.194555717e+01 +2.194555717e+01 +5.373455572e+02 +5.373455572e+02 -3.3531e-01 +2.2186e+00 -1.8295e+00 -4.8491e-02 +3.8959e-01 -6.6948e-01 -3.2708e+00 -4.1803e-02 -3.8624e+00 -3.0677e+00 +2.5332e+00 +2.9966e-01 -2.5173e+00 +2.7193e+00 +2.1826e+00 -1.8419e+00 +2.5926e+00 -1.4672e+00 -4.5600e+00 +2.4630e+00
823 +1.365211084e+01 +1.365211084e+01 +5.290521108e+02 +5.290521108e+02 +0.0000e+00 +2.7910e+00 -6.4166e-01 -4.5542e-01 -1.6314e+00 -3.0328e-01 -3.9646e+00 +1.3425e+00 -3.6253e+00 -2.7221e+00 +2.2447e-01 +1.3041e+00 -2.9081e+00 +3.2554e+00 +2.0426e+00 -2.0400e+00 +1.4870e+00 -1.1678e+00 -4.3721e+00 +1.6454e+00
1188 +9.279703372e+00 +9.279703372e+00 +5.246797034e+02 +5.246797034e+02 -1.4536e+00 +3.8356e+00 -3.4426e-01 +5.4267e-01 +6.9886e-01 +1.2438e+00 -4.1656e+00 +1.6284e+00 -3.4526e+00 -2.6426e+00 +1.1115e+00 +1.4685e+00 -2.7822e+00 +3.2054e+00 +2.9507e+00 -1.4306e+00 +1.8581e+00 -6.3916e-01 -4.1328e+00 +2.0007e+00
1890 +5.526930748e+00 +5.526930748e+00 +5.209269307e+02 +5.209269307e+02 -1.1096e+00 +3.6716e+00 -7.3573e-01 +2.3261e-01 +3.0966e-01 -6.6227e-01 -3.3928e+00 +1.3383e+00 -3.2178e+00 -1.5383e+00 +7.3550e-01 +1.4760e+00 -3.3369e+00 +3.2512e+00 +1.8349e+00 -1.1234e+00 +2.3791e+00 -1.2471e+00 -4.2084e+00 +2.3987e+00
1959 +3.703602596e+00 +3.703602596e+00 +5.191036026e+02 +5.191036026e+02 -9.2097e-01 +3.7867e+00 -8.9882e-01 +1.0038e-01 +1.6263e-01 -3.7426e-02 -3.3965e+00 +1.2600e+00 -3.2633e+00 -1.3538e+00 +7.8001e-01 +1.9603e+00 -3.1404e+00 +3.2789e+00 +1.7632e+00 -1.2393e+00 +1.6569e+00 -1.2507e+00 -4.5649e+00 +2.5173e+00
2852 +2.434404421e+00 +2.434404421e+00 +5.178344044e+02 +5.178344044e+02 -3.2787e-01 +3.9108e+00 -4.0451e-01 -6.8398e-01 +2.1497e-01 -4.2051e-01 -3.4991e+00 +6.6288e-01 -3.1253e+00 -1.1890e+00 +9.8796e-01 +1.6728e+00 -2.8768e+00 +3.3551e+00 +1.9930e+00 -5.7053e-01 +1.6772e+00 -1.1066e+00 -4.3207e+00 +2.6480e+00
% function evaluation | noise-free fitness - Fopt (9.862300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.246466682e+01 +8.246466682e+01 +1.068694667e+03 +1.068694667e+03 -3.7001e+00 -3.0752e+00 +2.3972e-01 +1.6702e+00 +4.0110e+00 -1.4913e+00 +5.8540e-02 +1.6253e+00 +2.2909e+00 -3.5398e+00 -4.0126e+00 -1.5233e+00 -3.2522e+00 -2.2072e+00 +3.7213e+00 +9.0976e-01 -4.5086e+00 -9.4814e-02 +3.0257e+00 -3.8564e-01
