% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9 +1.257480189e+03 +1.257480189e+03 +1.271140189e+03 +1.271140189e+03 -4.5021e+00 -1.9644e+00 +1.8730e+00 -3.2339e+00 +1.4578e-01 -1.9009e+00 +4.2944e+00 -3.8264e+00 +3.5862e-01 +1.7402e+00 +9.6604e-01 -1.8433e-01 -6.7314e-01 +4.8211e+00 +4.4894e-01 +3.3917e+00 -1.5849e+00 -3.9168e+00 +1.2495e+00 +4.0253e+00
97 +8.067784564e+02 +8.067784564e+02 +8.204384564e+02 +8.204384564e+02 -4.5308e+00 -2.4835e+00 +5.0000e+00 -5.0000e+00 +4.2411e-01 -5.0000e+00 +2.9886e+00 -4.1251e+00 -1.5036e-01 +3.3446e+00 +5.0000e+00 -5.0000e+00 -4.4949e+00 +2.4092e+00 -3.4591e+00 +4.3976e+00 +6.4668e-01 -5.0000e+00 +4.8738e+00 +5.0000e+00
155 +2.602999991e+02 +2.602999991e+02 +2.739599991e+02 +2.739599991e+02 -4.6892e-01 +5.4043e-01 +2.9605e+00 -5.0000e+00 +4.2179e-01 -5.0000e+00 +3.6111e+00 -3.8013e+00 +6.4939e-01 +2.6011e+00 +1.1632e+00 +3.0451e-01 -3.8965e+00 +2.9976e+00 -4.0740e+00 +4.1653e+00 -4.3401e-01 -4.9173e+00 +4.0595e+00 +7.3539e-01
545 +2.181287783e+02 +2.181287783e+02 +2.317887783e+02 +2.317887783e+02 +1.1078e-01 +6.2834e-01 +2.4843e+00 -5.0000e+00 +7.7821e-02 -4.2388e+00 +3.1848e+00 -4.2379e+00 +1.4729e+00 +2.6402e+00 +1.1854e+00 +7.0068e-01 -4.0235e+00 +3.7789e+00 -4.0516e+00 +3.7579e+00 -1.7761e+00 -4.9529e+00 +3.9251e+00 +8.1901e-01
2981 +1.495793189e+02 +1.495793189e+02 +1.632393189e+02 +1.632393189e+02 +1.0536e+00 +3.8361e-01 +3.6629e+00 -2.1922e+00 -2.3058e+00 -4.5550e+00 +5.0000e+00 -2.4062e+00 +4.3540e-01 +2.8712e+00 -1.0568e+00 +1.7369e+00 +4.7510e-01 +2.2892e+00 +3.4286e-02 +2.6306e+00 -9.6225e-01 -4.2319e+00 -4.2143e+00 +4.9216e+00
17069 +9.620877510e+01 +9.620877510e+01 +1.098687751e+02 +1.098687751e+02 -3.0855e-01 +5.4047e-01 +3.9396e+00 -2.5502e+00 -2.2080e+00 -4.7636e+00 +3.7490e+00 -4.1251e+00 +6.5487e-01 +8.9722e-01 -3.6297e+00 -4.2027e-01 -1.2442e+00 +1.4535e+00 +3.0735e-01 +2.5291e+00 -3.8627e+00 -4.5609e+00 -4.9676e-01 +2.6454e+00
30645 +5.598050909e+01 +5.598050909e+01 +6.964050909e+01 +6.964050909e+01 +9.2518e-02 +9.8792e-03 +2.9556e+00 +5.0838e-01 -1.3186e+00 -3.5684e+00 +4.1087e+00 -3.9031e+00 +9.6943e-01 -2.5582e+00 -1.9754e+00 -5.3124e-01 -2.9917e+00 +7.9297e-01 +8.4810e-02 +2.8186e+00 -3.8684e+00 -4.6778e+00 -1.9002e+00 +2.7328e+00
41514 +3.963057026e+01 +3.963057026e+01 +5.329057026e+01 +5.329057026e+01 +8.7281e-02 +5.7475e-02 +2.9836e+00 -1.5586e-01 -3.5266e-01 -3.5977e+00 +4.2038e+00 -4.0060e+00 +9.6567e-01 -2.9211e+00 -1.8863e+00 -3.8641e-01 -1.4318e+00 -2.5949e-01 +8.4818e-02 +2.6644e+00 -3.8992e+00 -4.6359e+00 -1.1053e+00 +4.3619e-01
% function evaluation | noise-free fitness - Fopt (9.378400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.156041590e+07 +2.156041590e+07 +2.156135374e+07 +2.156135374e+07 +2.4750e+00 +1.6282e+00 +2.5324e+00 +2.2297e+00 -3.0525e+00 -1.7506e-01 +4.3366e+00 -2.5147e+00 -1.8098e+00 +1.7804e+00 -1.1410e+00 +8.2159e-01 +2.5535e+00 +1.0620e+00 -3.5378e+00 -3.6056e+00 +1.6917e+00 +3.3619e+00 -1.1107e+00 +3.7403e+00
