% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.692058816e+03 +7.692058816e+03 +7.688348816e+03 +7.688348816e+03 +2.2777e-01 -4.6576e-01 -4.1210e+00 +1.5305e+00 -5.2839e-01 +4.8142e-01 +2.3784e+00 -4.8353e+00 -4.7414e+00 -4.7458e+00 +4.0819e+00 +9.4108e-01 -4.9622e+00 -4.1759e+00 +3.4698e+00 -4.8099e+00 -2.0272e+00 -2.2948e-01 -3.7569e+00 +3.4199e+00
2 +2.480786142e+03 +2.480786142e+03 +2.477076142e+03 +2.477076142e+03 -4.9668e+00 +9.9398e-01 +2.5280e+00 -2.4254e+00 +2.7795e+00 -2.7172e+00 +1.5643e+00 -3.7955e-01 +2.0407e+00 +4.8775e+00 -2.8244e+00 -2.5494e+00 -4.7761e+00 -4.7695e+00 +1.2876e+00 -3.0600e+00 -2.2523e+00 -2.3092e+00 -4.1586e+00 -1.1707e+00
17 +1.467738645e+03 +1.467738645e+03 +1.464028645e+03 +1.464028645e+03 -2.3473e+00 +2.9887e+00 -1.1866e+00 -3.3931e+00 +1.1062e+00 +3.2340e+00 -4.3407e+00 -1.3469e+00 +4.5237e-01 +7.1197e-01 +1.1748e+00 -8.8249e-01 +6.4069e-01 -1.7457e+00 -1.8945e+00 +9.4864e-01 +8.4753e-01 -4.5292e-01 -2.5876e+00 +3.4491e+00
78 +8.651350523e+02 +8.651350523e+02 +8.614250523e+02 +8.614250523e+02 +1.4876e+00 +2.8668e+00 +1.1292e+00 +3.0180e+00 +3.0515e+00 -1.6869e-01 -4.2342e+00 -7.8335e-01 -1.0048e+00 +4.6849e-01 +2.2745e+00 +1.1407e+00 -7.0622e-01 -5.0000e+00 -2.9489e+00 -1.1117e+00 -5.0000e+00 +2.8977e-01 +2.0783e+00 -1.2188e+00
197 +5.758588511e+02 +5.758588511e+02 +5.721488511e+02 +5.721488511e+02 +8.8439e-01 -8.0748e-01 -2.4983e-01 -9.4449e-02 +3.2448e+00 +1.7678e+00 -5.6504e-01 +2.4698e+00 -1.7937e+00 +4.4432e-01 +3.4884e+00 +3.8314e+00 +1.3971e+00 +0.0000e+00 +0.0000e+00 -5.0000e+00 +1.0185e+00 +1.5002e+00 +1.3900e+00 -3.7892e-01
909 +3.798334386e+02 +3.798334386e+02 +3.761234386e+02 +3.761234386e+02 +1.5735e+00 +2.4818e+00 -1.9159e+00 -1.4726e+00 +3.5653e+00 +0.0000e+00 -1.8693e+00 -1.0976e+00 +1.1792e+00 +1.5681e+00 +3.2087e+00 +1.1670e+00 +2.5157e+00 +6.5412e-01 +3.6552e-01 -4.4103e+00 +1.0061e+00 +2.0000e+00 +2.7054e+00 -2.5152e+00
2260 +2.368413299e+02 +2.368413299e+02 +2.331313299e+02 +2.331313299e+02 -4.3679e-01 -5.1609e-01 -1.3228e+00 +3.0049e+00 +2.7751e+00 +1.1690e+00 -1.6431e+00 -7.8134e-01 +1.7662e+00 +1.2145e+00 +3.8648e+00 +1.8959e+00 +3.1698e+00 -2.1954e+00 +5.1666e-01 -4.1167e+00 +4.5877e-01 +2.4493e+00 +2.8224e+00 -3.9571e+00
2887 +1.551180126e+02 +1.551180126e+02 +1.514080126e+02 +1.514080126e+02 +7.9724e-02 -3.0420e+00 -1.0861e+00 +3.1367e+00 +3.1481e+00 +3.8584e+00 -3.4531e-01 -2.9754e+00 +1.7503e+00 +6.3798e-01 +3.0737e+00 +2.1186e+00 +2.9865e+00 -1.6820e+00 +4.3875e-01 -4.4313e+00 +6.9884e-01 +9.8880e-01 +2.8218e+00 -2.9470e+00
3745 +9.795434539e+01 +9.795434539e+01 +9.424434539e+01 +9.424434539e+01 +5.0974e-02 -3.9762e+00 -1.0795e+00 +3.1470e+00 +3.1555e+00 +2.8548e+00 -6.3721e-01 -1.3811e+00 +1.7178e+00 +6.4873e-01 +3.1356e+00 +2.0347e+00 +3.1946e+00 -1.6536e+00 +5.3377e-01 -4.0714e+00 +6.8568e-01 +1.1433e+00 +2.8041e+00 -2.9299e+00
