% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8958 +3.674275069e-03 +3.674275069e-03 +7.948367428e+01 +7.948367428e+01 +2.5602e-01 -1.1485e+00 -7.3715e-01 +1.9179e+00 -2.6887e+00 +4.5106e-01 -1.1347e-01 +1.1471e-01 -1.6340e+00 -3.0741e+00 -3.8870e+00 +2.0023e+00 +1.0950e+00 -6.7270e-02 +3.6266e+00 +2.9146e+00 -1.3007e-01 -3.9314e+00 +2.3655e+00 +1.3762e+00
9430 +2.459620443e-03 +2.459620443e-03 +7.948245962e+01 +7.948245962e+01 +2.6232e-01 -1.1530e+00 -7.2379e-01 +1.9126e+00 -2.6785e+00 +4.3612e-01 -1.0652e-01 +1.2027e-01 -1.6297e+00 -3.0756e+00 -3.8546e+00 +2.0018e+00 +1.0953e+00 -8.3753e-02 +3.6245e+00 +2.9178e+00 -1.3093e-01 -3.9288e+00 +2.3686e+00 +1.3789e+00
9843 +8.762226804e-04 +8.762226804e-04 +7.948087622e+01 +7.948087622e+01 +2.4265e-01 -1.1564e+00 -7.2845e-01 +1.9202e+00 -2.6775e+00 +4.3783e-01 -1.1493e-01 +1.1958e-01 -1.6335e+00 -3.0545e+00 -3.8536e+00 +2.0086e+00 +1.0991e+00 -9.1628e-02 +3.6301e+00 +2.9124e+00 -1.2976e-01 -3.9310e+00 +2.3585e+00 +1.3670e+00
10407 +5.588512306e-04 +5.588512306e-04 +7.948055885e+01 +7.948055885e+01 +2.4329e-01 -1.1599e+00 -7.2099e-01 +1.9218e+00 -2.6763e+00 +4.3894e-01 -1.1462e-01 +1.2034e-01 -1.6336e+00 -3.0466e+00 -3.8605e+00 +2.0105e+00 +1.0909e+00 -8.9450e-02 +3.6383e+00 +2.9145e+00 -1.2375e-01 -3.9329e+00 +2.3568e+00 +1.3679e+00
10859 +3.901595898e-04 +3.901595898e-04 +7.948039016e+01 +7.948039016e+01 +2.4607e-01 -1.1592e+00 -7.2436e-01 +1.9325e+00 -2.6742e+00 +4.3865e-01 -1.1494e-01 +1.2194e-01 -1.6367e+00 -3.0537e+00 -3.8579e+00 +2.0104e+00 +1.0923e+00 -8.7991e-02 +3.6416e+00 +2.9033e+00 -1.2729e-01 -3.9306e+00 +2.3669e+00 +1.3663e+00
11323 +2.452235779e-04 +2.452235779e-04 +7.948024522e+01 +7.948024522e+01 +2.4700e-01 -1.1581e+00 -7.2362e-01 +1.9246e+00 -2.6776e+00 +4.4127e-01 -1.1762e-01 +1.2043e-01 -1.6366e+00 -3.0511e+00 -3.8567e+00 +2.0154e+00 +1.0912e+00 -8.8962e-02 +3.6449e+00 +2.9026e+00 -1.2477e-01 -3.9332e+00 +2.3667e+00 +1.3662e+00
11767 +1.570320671e-04 +1.570320671e-04 +7.948015703e+01 +7.948015703e+01 +2.4819e-01 -1.1602e+00 -7.2413e-01 +1.9245e+00 -2.6781e+00 +4.4092e-01 -1.1670e-01 +1.1999e-01 -1.6369e+00 -3.0514e+00 -3.8567e+00 +2.0149e+00 +1.0907e+00 -8.8724e-02 +3.6421e+00 +2.9089e+00 -1.2277e-01 -3.9332e+00 +2.3647e+00 +1.3620e+00
12564 +9.348965618e-05 +9.348965618e-05 +7.948009349e+01 +7.948009349e+01 +2.5473e-01 -1.1589e+00 -7.2441e-01 +1.9260e+00 -2.6780e+00 +4.4186e-01 -1.1590e-01 +1.2124e-01 -1.6389e+00 -3.0544e+00 -3.8536e+00 +2.0135e+00 +1.0866e+00 -8.8877e-02 +3.6469e+00 +2.9082e+00 -1.2300e-01 -3.9340e+00 +2.3641e+00 +1.3588e+00
13705 +5.935400414e-05 +5.935400414e-05 +7.948005935e+01 +7.948005935e+01 +2.5381e-01 -1.1570e+00 -7.2470e-01 +1.9266e+00 -2.6783e+00 +4.4172e-01 -1.1743e-01 +1.2077e-01 -1.6370e+00 -3.0537e+00 -3.8549e+00 +2.0170e+00 +1.0873e+00 -8.9215e-02 +3.6474e+00 +2.9094e+00 -1.2494e-01 -3.9328e+00 +2.3635e+00 +1.3572e+00
14420 +3.666139490e-05 +3.666139490e-05 +7.948003666e+01 +7.948003666e+01 +2.5339e-01 -1.1588e+00 -7.2340e-01 +1.9272e+00 -2.6784e+00 +4.4055e-01 -1.1637e-01 +1.2157e-01 -1.6382e+00 -3.0495e+00 -3.8537e+00 +2.0179e+00 +1.0867e+00 -8.6725e-02 +3.6463e+00 +2.9100e+00 -1.2295e-01 -3.9302e+00 +2.3638e+00 +1.3572e+00
14742 +1.884240214e-05 +1.884240214e-05 +7.948001884e+01 +7.948001884e+01 +2.5308e-01 -1.1582e+00 -7.2415e-01 +1.9260e+00 -2.6787e+00 +4.4152e-01 -1.1639e-01 +1.2099e-01 -1.6376e+00 -3.0496e+00 -3.8534e+00 +2.0160e+00 +1.0866e+00 -8.6473e-02 +3.6467e+00 +2.9086e+00 -1.2538e-01 -3.9293e+00 +2.3629e+00 +1.3589e+00
15298 +1.567245873e-05 +1.567245873e-05 +7.948001567e+01 +7.948001567e+01 +2.5177e-01 -1.1582e+00 -7.2364e-01 +1.9266e+00 -2.6795e+00 +4.3910e-01 -1.1586e-01 +1.2118e-01 -1.6370e+00 -3.0491e+00 -3.8539e+00 +2.0151e+00 +1.0853e+00 -8.6261e-02 +3.6471e+00 +2.9095e+00 -1.2482e-01 -3.9287e+00 +2.3627e+00 +1.3575e+00
15857 +9.690061475e-06 +9.690061475e-06 +7.948000969e+01 +7.948000969e+01 +2.5159e-01 -1.1580e+00 -7.2443e-01 +1.9272e+00 -2.6794e+00 +4.4017e-01 -1.1634e-01 +1.2106e-01 -1.6377e+00 -3.0513e+00 -3.8538e+00 +2.0155e+00 +1.0868e+00 -8.6137e-02 +3.6468e+00 +2.9091e+00 -1.2553e-01 -3.9274e+00 +2.3626e+00 +1.3586e+00
