% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8538 +2.433392247e+01 +2.433392247e+01 -4.935760775e+02 -4.935760775e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +2.5995e+00 +1.5680e+00 -4.1551e+00 +0.0000e+00 -5.0000e+00 -5.0000e+00 +4.7337e+00 +2.8270e+00 +1.5987e-01 +5.0000e+00 -3.3512e+00 -5.0000e+00 -4.4259e+00 -5.0000e+00
13609 +1.307886293e+01 +1.307886293e+01 -5.048311371e+02 -5.048311371e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -4.9266e+00 -5.0000e+00 -5.0000e+00 +2.1299e+00 +1.8259e+00 -5.0000e+00 +1.3839e-01 -5.0000e+00 -5.0000e+00 +5.0000e+00 +3.4222e+00 -1.5896e+00 +5.0000e+00 -2.2770e+00 -5.0000e+00 -4.4045e+00 -5.0000e+00
15410 +9.913617830e+00 +9.913617830e+00 -5.079963822e+02 -5.079963822e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -4.9328e+00 -5.0000e+00 -5.0000e+00 +2.0527e+00 +2.0527e+00 -5.0000e+00 +1.7915e-01 -5.0000e+00 -5.0000e+00 +5.0000e+00 +3.4843e+00 -1.6800e+00 +5.0000e+00 -2.4999e+00 -5.0000e+00 -4.4436e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.737672069e+01 +8.737672069e+01 +3.016672069e+01 +3.016672069e+01 +1.3109e-01 -6.2127e-01 +3.1532e+00 -2.8987e+00 +4.9842e+00 -3.4417e+00 +5.5798e-01 -1.3242e-01 +3.4367e+00 +3.7456e+00 -4.0125e+00 +6.5507e-01 +1.0832e+00 +9.1381e-02 +8.8595e-01 -1.0749e+00 +2.6820e+00 +2.4326e+00 +1.2224e-02 +8.4586e-01
7 +5.574441729e+01 +5.574441729e+01 -1.465582706e+00 -1.465582706e+00 +4.7027e-01 +3.8542e+00 +4.3526e+00 -9.5253e-01 -3.3589e+00 -3.1029e+00 -6.8472e-01 -3.8140e+00 +1.5060e+00 +2.0359e+00 -1.2107e+00 -3.7626e-01 -3.3319e+00 +2.4278e+00 -1.2258e+00 -4.8012e+00 -1.6297e+00 -2.9261e+00 -4.5809e+00 -4.6469e+00
29 +3.887805686e+01 +3.887805686e+01 -1.833194314e+01 -1.833194314e+01 -4.8613e+00 -4.5196e+00 +3.2627e+00 +2.5701e+00 -2.2965e+00 +2.0343e+00 -4.9674e+00 +5.0040e-01 -2.3602e+00 -1.2865e-01 -2.9917e+00 -2.1424e+00 +1.7118e+00 -3.7724e+00 +2.6795e+00 +2.5687e+00 +2.5005e+00 -3.7730e+00 -3.5483e+00 +7.6258e-01
2383 +2.371478689e+01 +2.371478689e+01 -3.349521311e+01 -3.349521311e+01 -5.4038e+00 -4.7768e+00 +1.7948e+00 +2.4660e+00 +3.2532e+00 +9.5250e-01 -3.0120e+00 +3.9142e+00 -5.3148e-01 -2.7015e+00 +7.6494e-01 +1.2458e-02 -1.7254e+00 -4.3853e+00 +1.3095e+00 +7.1235e-01 +3.8604e+00 -3.2826e+00 -4.4942e+00 -3.9872e+00
15711 +1.487743069e+01 +1.487743069e+01 -4.233256931e+01 -4.233256931e+01 -5.0000e+00 -4.5757e+00 +6.8037e-01 -2.0222e+00 +5.0000e+00 +5.0000e+00 -1.8234e+00 +5.0000e+00 +2.1592e+00 -2.8320e+00 +3.3802e+00 +3.2705e-01 +8.1272e-01 -4.5254e+00 +2.1532e+00 +9.3861e-01 +2.5734e+00 -2.7472e+00 -3.2047e+00 -4.1391e+00
16908 +8.695347775e+00 +8.695347775e+00 -4.851465222e+01 -4.851465222e+01 -5.0380e+00 -4.5577e+00 +7.9487e-01 -1.1299e+00 +4.6302e+00 +4.8734e+00 -2.3800e+00 +4.7834e+00 +2.3369e+00 -2.5998e+00 +3.5628e+00 +9.3718e-02 +5.3344e-01 -4.1690e+00 +1.6710e+00 +1.0390e+00 +2.9391e+00 -2.7156e+00 -3.6622e+00 -3.7799e+00
17945 +6.183751623e+00 +6.183751623e+00 -5.102624838e+01 -5.102624838e+01 -4.9544e+00 -4.4814e+00 +7.3049e-01 -9.6121e-01 +4.8556e+00 +4.2562e+00 -2.1872e+00 +4.6238e+00 +2.2217e+00 -2.7789e+00 +3.3718e+00 -1.2673e-01 +5.1273e-01 -4.0871e+00 +1.8974e+00 +1.0530e+00 +2.4036e+00 -2.8170e+00 -3.3604e+00 -3.9558e+00
19311 +3.978197614e+00 +3.978197614e+00 -5.323180239e+01 -5.323180239e+01 -4.9438e+00 -4.4694e+00 +7.6052e-01 -9.7454e-01 +4.9177e+00 +4.1518e+00 -2.1337e+00 +4.5917e+00 +2.2015e+00 -2.7312e+00 +3.3737e+00 -2.0607e-01 +5.2685e-01 -3.8866e+00 +1.9437e+00 +1.0332e+00 +2.5042e+00 -2.8049e+00 -3.4196e+00 -3.9658e+00
% function evaluation | noise-free fitness - Fopt (-2.778000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.637299197e+02 +1.637299197e+02 +1.359499197e+02 +1.359499197e+02 -3.0690e+00 -3.9726e+00 +3.5828e+00 +8.2015e-01 -4.4616e+00 -1.6189e+00 -1.8972e+00 +4.6161e+00 -1.4818e+00 +2.7719e-01 +2.6296e+00 +2.4175e+00 -2.3297e+00 +3.0951e+00 -5.7645e-01 -1.5073e+00 +2.2998e+00 +4.8868e+00 -8.9028e-01 -3.0926e+00
2 +9.802600098e+01 +9.802600098e+01 +7.024600098e+01 +7.024600098e+01 -1.5590e+00 -3.9580e+00 -2.9537e+00 -2.4110e+00 -4.1413e+00 +8.6033e-02 +4.4926e+00 +1.1479e+00 +9.0159e-01 -1.1491e+00 +1.9887e+00 +3.4774e+00 -8.9659e-01 +1.6768e+00 +8.6129e-01 -3.2174e-01 +2.5952e+00 +1.4026e+00 -2.0869e+00 +4.5905e+00
3 +4.748774595e+01 +4.748774595e+01 +1.970774595e+01 +1.970774595e+01 -4.8987e+00 +2.1504e+00 +3.1021e+00 -2.8375e+00 +4.0764e+00 +4.6111e+00 -5.8204e-01 +1.4287e+00 -3.0889e+00 +3.3323e-01 +4.5459e+00 +2.1492e+00 +3.4419e+00 +2.5170e+00 -3.5888e+00 -3.8808e+00 -1.1035e+00 -4.3429e+00 -3.2607e+00 +1.4145e+00
145 +3.849884737e+01 +3.849884737e+01 +1.071884737e+01 +1.071884737e+01 -2.3114e+00 -2.7343e+00 +1.4729e+00 -4.1919e+00 -1.7446e+00 +9.4722e-01 +1.9870e-01 -2.5952e-01 -4.4152e+00 +7.9325e-01 +1.8396e+00 -1.7960e-01 -1.4975e+00 +5.3135e+00 +2.7087e+00 -2.3588e+00 -3.4076e+00 -2.9754e+00 +1.6828e+00 +2.3389e+00
13726 +2.476118410e+01 +2.476118410e+01 -3.018815903e+00 -3.018815903e+00 +3.3035e+00 -5.0000e+00 -2.4227e+00 -5.0000e+00 -1.9624e+00 +5.0000e+00 -5.0000e+00 -4.9671e+00 +3.4392e+00 +4.1168e+00 +2.2124e+00 +4.6293e+00 -3.7645e+00 -1.9664e+00 -5.0000e+00 +4.5418e+00 +4.0258e+00 -1.7777e-01 +4.8229e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (-4.871000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.828513930e+01 +6.828513930e+01 +1.957513930e+01 +1.957513930e+01 +7.5520e-01 -4.3405e+00 -4.4923e+00 +4.2252e+00 -9.7420e-01 -3.0671e+00 +5.2859e-01 +2.0652e-01 -1.6184e+00 +9.2605e-01 -2.3595e+00 -4.0645e-01 -1.3167e+00 -4.4168e+00 +2.1873e+00 +2.0322e+00 +1.6449e+00 +9.1596e-01 +2.5590e+00 +4.9557e+00
4 +4.167218299e+01 +4.167218299e+01 -7.037817011e+00 -7.037817011e+00 +3.3595e+00 +3.3595e+00 +3.0740e-01 -1.9697e+00 -3.6076e+00 +1.1603e+00 -4.2627e+00 +1.4732e+00 +2.4306e+00 +4.7034e+00 -4.8304e+00 -9.3306e-01 +2.5037e+00 +1.9793e+00 -9.8554e-01 +2.0957e+00 -3.0592e+00 -1.9270e-01 -1.0251e+00 +3.6919e+00
25 +3.339111093e+01 +3.339111093e+01 -1.531888907e+01 -1.531888907e+01 +4.4031e+00 -3.6289e+00 -4.0237e+00 +3.6314e+00 -3.0936e+00 +4.2374e+00 +3.0005e+00 -8.7069e-01 -3.0377e+00 +3.4114e+00 -3.4851e+00 +4.5452e+00 -6.5136e-01 +2.3563e+00 +4.8806e+00 +2.9004e+00 -3.4775e-01 -8.2617e-01 +3.4235e+00 +2.4753e+00
181 +2.426059703e+01 +2.426059703e+01 -2.444940297e+01 -2.444940297e+01 +5.3632e+00 -2.1161e+00 +2.8628e+00 +2.5644e-01 -2.2338e+00 -3.6002e+00 -8.0055e-01 +4.7693e-01 -5.7334e-02 -1.0897e+00 -1.7842e+00 -1.9012e+00 +6.4378e-01 +6.8502e+00 -7.8801e-01 -1.0250e-01 +2.1550e-01 -2.0196e+00 +4.2424e+00 -1.7674e+00
19778 +1.577046086e+01 +1.577046086e+01 -3.293953914e+01 -3.293953914e+01 +5.0000e+00 -4.2382e+00 +4.2255e+00 +3.7497e-01 -2.6068e+00 -2.8647e+00 +1.3514e+00 +3.5814e-01 -3.0244e+00 +6.8234e-01 -3.6114e+00 -7.7747e-01 +7.7356e-01 +3.2321e+00 +1.8307e+00 -5.6417e-01 +5.3451e-01 -4.2121e+00 +3.3406e+00 -1.5202e+00
% function evaluation | noise-free fitness - Fopt (-1.667900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.498080087e+01 +6.498080087e+01 -1.018091991e+02 -1.018091991e+02 -1.9056e-01 +5.5904e-01 -3.3555e+00 +1.0501e+00 -3.5233e+00 +1.0053e+00 +3.7526e+00 +3.7802e+00 -3.2415e+00 +2.5157e-01 +2.1911e+00 +3.4379e+00 -2.5287e+00 +3.9661e+00 +3.4877e-01 -3.0114e+00 -2.3519e+00 -2.0292e+00 +1.5773e+00 -2.0654e+00
17 +6.015233483e+01 +6.015233483e+01 -1.066376652e+02 -1.066376652e+02 +3.7780e+00 -2.4129e+00 -3.9004e+00 +4.0557e+00 +3.6428e-01 -2.7614e+00 -7.6123e-01 +4.0340e+00 +1.1427e+00 +7.9590e-01 +4.9835e+00 -2.4612e-01 -4.5284e+00 +4.3069e+00 -6.2043e-01 +1.2381e+00 -4.7288e+00 +3.5771e-01 -2.7342e+00 +3.3652e+00
