% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
39945 +9.828761690e+00 +9.828761690e+00 -5.080812383e+02 -5.080812383e+02 +1.3840e+00 -3.2212e+00 +3.5785e+00 -2.8854e+00 +4.7218e-01 -4.1775e+00 +1.7857e+00 +3.2063e+00 +3.6271e+00 +1.7918e+00 -7.3721e-01 +6.4319e-01 -2.3941e-01 +1.1278e+00 -1.7706e+00 +3.1715e+00 +4.1497e-01 +3.7946e+00 +2.0993e+00 +2.9172e-01
44847 +5.855421327e+00 +5.855421327e+00 -5.120545787e+02 -5.120545787e+02 +1.3840e+00 -3.2212e+00 +3.8285e+00 -2.8854e+00 +4.7218e-01 -4.1775e+00 +1.7857e+00 +3.2063e+00 +3.6349e+00 +1.7918e+00 -7.3721e-01 +6.4343e-01 -2.3941e-01 +1.3934e+00 -1.7550e+00 +3.1715e+00 +1.3373e-01 +3.7936e+00 +2.0363e+00 +2.9562e-01
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.679945257e+01 +7.679945257e+01 +1.958945257e+01 +1.958945257e+01 -3.2794e+00 -3.7073e-01 -1.5109e+00 +3.1144e+00 -7.2220e-01 -4.5592e-01 +3.8351e+00 -4.5129e+00 -9.8182e-01 +1.9096e+00 -6.8518e-02 +2.6561e+00 -2.6024e+00 -4.9466e-01 -3.3757e+00 -2.9601e+00 -2.0647e+00 +2.3505e+00 -2.8979e+00 +2.9555e+00
12 +5.099277867e+01 +5.099277867e+01 -6.217221326e+00 -6.217221326e+00 -8.7665e-01 -1.3679e+00 +2.2440e+00 +1.3351e+00 +1.2921e+00 -3.4371e+00 +2.9897e+00 -1.5148e+00 +1.5218e+00 -3.9262e+00 +7.9989e-01 -3.0618e+00 +4.2221e+00 +2.8177e-01 -9.7434e-02 +4.2239e+00 -4.5816e+00 +2.7309e+00 -4.0415e+00 +5.8301e-01
220 +3.934367174e+01 +3.934367174e+01 -1.786632826e+01 -1.786632826e+01 -4.2170e+00 +3.4775e+00 +1.2548e+00 +1.6465e+00 +1.7555e+00 -1.4956e+00 -4.1592e+00 -4.4561e+00 -7.1329e-01 +2.4528e-02 -3.9226e+00 -2.2116e+00 -1.9146e+00 -2.1268e+00 -2.6716e+00 -4.4707e+00 +2.8032e+00 -2.3766e+00 -1.6928e+00 -4.5497e+00
6300 +1.389481212e+01 +1.389481212e+01 -4.331518788e+01 -4.331518788e+01 -9.7953e-01 +1.2312e+00 +4.4383e+00 -4.9943e+00 -4.3811e-01 -4.9403e-01 -2.5192e+00 +4.7406e+00 +9.6802e-01 -4.9812e+00 +2.9510e+00 -5.7180e-02 +2.2170e+00 +1.4897e+00 +1.4549e+00 -4.1599e-01 +3.3930e+00 -2.1982e+00 -4.7814e+00 +1.5035e+00
44724 +9.914383956e+00 +9.914383956e+00 -4.729561604e+01 -4.729561604e+01 -9.7953e-01 +1.2312e+00 +4.4383e+00 -4.8693e+00 -4.3811e-01 -4.9403e-01 -2.5192e+00 +4.7406e+00 +9.6802e-01 -4.9812e+00 +2.9510e+00 -5.7180e-02 +2.2170e+00 +1.4897e+00 +1.4627e+00 -4.1599e-01 +3.3909e+00 -2.1963e+00 -4.7814e+00 +1.5006e+00
% function evaluation | noise-free fitness - Fopt (-2.778000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.579152320e+01 +6.579152320e+01 +3.801152320e+01 +3.801152320e+01 -4.7845e+00 +4.0878e+00 +1.8924e+00 +3.5825e+00 -4.4195e+00 -1.6061e+00 -4.2604e+00 -1.0423e+00 -1.7118e+00 -1.7767e+00 +4.9623e+00 -3.9947e+00 -3.3783e+00 +3.2439e+00 -3.4454e+00 -3.5818e+00 +3.0760e+00 -4.1950e+00 -2.1709e+00 +7.9438e-01
