% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.996800982e+02 +6.996800982e+02 +5.660900982e+02 +5.660900982e+02 -3.4622e+00 -2.3592e+00 -1.4525e-01 +2.9734e-01 -2.0878e+00 +3.5877e+00 +9.4320e-01 +2.9594e+00 +1.7778e+00 +2.0232e+00 -1.1782e+00 +4.0326e+00 +2.7972e-01 -3.6718e+00 +3.9820e+00 -1.6429e+00 +1.2345e+00 +2.4738e-01 -2.8804e+00 -4.1122e+00
5 +5.510787121e+02 +5.510787121e+02 +4.174887121e+02 +4.174887121e+02 +9.3399e-01 -1.3112e-01 +4.3064e+00 +9.7829e-01 +4.3527e+00 -1.4970e+00 -1.1856e+00 -1.7803e+00 -4.9120e+00 +1.6486e+00 -1.8758e+00 -1.2242e+00 -2.3371e+00 -8.6483e-01 +1.1062e+00 +2.6705e+00 -2.0409e+00 +3.0144e+00 +2.8289e-01 -2.5552e+00
122 +3.536507916e+02 +3.536507916e+02 +2.200607916e+02 +2.200607916e+02 +7.5898e-02 -2.5166e+00 +3.5113e+00 +4.7969e-01 +3.0911e+00 -1.0559e+00 +0.0000e+00 +1.7555e+00 -5.1470e-01 -1.8167e+00 -2.3272e+00 +0.0000e+00 -6.1279e-01 +9.1190e-01 +0.0000e+00 +2.4366e+00 -1.0287e+00 -6.5358e-01 -2.6869e+00 -4.2197e+00
818 +2.476246168e+02 +2.476246168e+02 +1.140346168e+02 +1.140346168e+02 -1.9532e+00 -1.9338e+00 +1.1373e+00 +2.0934e+00 +3.7354e+00 -3.0444e+00 -2.4297e+00 +3.8285e-01 +4.1712e-01 -1.7140e+00 +2.5002e+00 -1.4343e+00 +3.0471e+00 +1.4539e+00 +7.5734e-01 +4.6285e-01 -2.6910e+00 -7.8205e-01 -1.8115e+00 -3.9734e+00
41403 +1.578550166e+02 +1.578550166e+02 +2.426501659e+01 +2.426501659e+01 -5.4399e-01 -1.1344e+00 +2.1945e+00 +9.5770e-01 +2.8448e+00 +8.5285e-02 +5.3062e-01 +5.6735e-01 +1.3883e-01 -1.1432e-01 +1.8342e+00 -1.3756e+00 +2.1367e+00 +1.5807e+00 +1.1305e+00 +4.5926e-01 -1.6914e+00 -2.5218e+00 -2.0134e+00 -3.2032e+00
% function evaluation | noise-free fitness - Fopt (1.543700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.061981898e+02 +8.061981898e+02 +9.605681898e+02 +9.605681898e+02 -1.7366e+00 +7.2461e-01 -1.4616e+00 -2.4720e-02 -3.5185e+00 -2.3318e+00 +3.2962e+00 -3.1150e+00 -2.1209e-01 +2.5801e+00 -3.4477e+00 -1.6677e+00 +1.6116e+00 +4.3073e+00 +1.4849e+00 -4.3385e+00 +8.0129e-01 -4.5926e+00 -4.9138e+00 -3.8135e+00
30 +6.139679498e+02 +6.139679498e+02 +7.683379498e+02 +7.683379498e+02 +1.5104e+00 -4.5098e-01 -3.6214e+00 +1.6770e+00 -3.1572e+00 +1.5366e+00 +2.6107e+00 -2.0458e+00 +1.2921e+00 -4.0017e+00 -1.8842e+00 +4.2545e-01 -2.3976e+00 +9.3513e-02 +2.9771e+00 -1.8751e+00 -2.0936e+00 -4.4979e-01 -2.3379e+00 +1.5950e+00
215 +3.903350558e+02 +3.903350558e+02 +5.447050558e+02 +5.447050558e+02 -4.8006e-01 -2.6872e-01 -9.0113e-01 +2.6884e+00 +1.5797e+00 -2.1899e+00 +2.6360e+00 +2.3865e+00 +3.3498e-01 +2.6914e-01 +1.8150e-01 +4.2500e-01 -2.7523e+00 -2.4229e+00 +4.1352e-01 +1.4589e+00 +1.2829e+00 +0.0000e+00 +1.6543e+00 -2.1440e+00
1780 +2.502860719e+02 +2.502860719e+02 +4.046560719e+02 +4.046560719e+02 -7.1293e-01 +3.3040e-02 +2.5587e+00 +8.6647e-01 -6.7915e-01 -1.0914e+00 +1.2778e+00 +2.4701e+00 +2.6422e-01 -1.0282e+00 +7.8173e-01 +6.9071e-01 -2.0336e+00 -1.8887e+00 +5.2182e-02 +6.3953e-01 +1.1193e+00 -7.5568e-01 +1.3313e+00 -2.1239e+00
4166 +1.534678634e+02 +1.534678634e+02 +3.078378634e+02 +3.078378634e+02 -1.0217e+00 -1.4993e+00 +1.9268e+00 +1.6481e+00 -1.9597e+00 -1.6688e+00 -1.4306e-01 +1.3953e+00 +1.0186e+00 -4.1387e-01 +1.4057e+00 -2.1666e-01 -2.3881e+00 -1.6944e+00 -9.4824e-01 +1.7636e-01 -2.2928e+00 +2.4377e+00 +1.5652e+00 -2.5442e+00
16693 +9.961757707e+01 +9.961757707e+01 +2.539875771e+02 +2.539875771e+02 -1.0180e+00 -1.4731e+00 +1.9293e+00 +1.6491e+00 -1.9606e+00 -1.6679e+00 -1.6993e-01 +1.3921e+00 +1.0197e+00 -4.1424e-01 +1.4161e+00 -2.1727e-01 -2.3799e+00 -1.6976e+00 -9.3748e-01 +1.7660e-01 -2.3130e+00 +2.4026e+00 +1.5645e+00 -2.5445e+00
% function evaluation | noise-free fitness - Fopt (-2.883300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.328873857e+02 +6.328873857e+02 +3.445573857e+02 +3.445573857e+02 +3.2326e+00 -2.4928e+00 -1.4066e+00 +3.1476e+00 +4.7539e+00 -2.9746e+00 +1.2305e+00 -2.6858e+00 +1.2462e+00 +2.9984e-01 +4.5575e-01 +3.7662e+00 +2.5078e+00 -1.2420e+00 -3.4139e+00 +8.0210e-01 +4.8932e+00 -1.7152e+00 +1.7722e+00 -1.3077e+00
7 +5.746103398e+02 +5.746103398e+02 +2.862803398e+02 +2.862803398e+02 -7.7697e-01 +4.8466e-01 +1.3808e+00 +4.9365e+00 -2.0900e+00 -2.9386e+00 -5.9003e-01 +3.5476e-01 +4.4632e-02 -1.8949e+00 -3.1410e+00 +4.3703e-01 +3.5945e+00 +9.1297e-01 +2.2953e+00 +1.5739e+00 +7.5600e-01 +4.8398e-01 -3.1661e+00 +4.4194e+00
200 +3.332376201e+02 +3.332376201e+02 +4.490762008e+01 +4.490762008e+01 -3.3693e+00 +1.1797e+00 +8.4452e-01 -2.1396e-01 -4.6760e-01 -3.2876e+00 -1.1070e+00 +9.1366e-01 -1.0559e+00 -2.3346e-01 -5.9288e-02 +1.7331e+00 +2.9828e+00 -6.7528e-01 -3.7876e+00 +0.0000e+00 +3.4855e+00 +1.0326e+00 +1.3119e-01 +2.1172e+00
401 +2.447044909e+02 +2.447044909e+02 -4.362550914e+01 -4.362550914e+01 -1.3155e+00 -1.9745e+00 +9.0411e-01 -2.6487e-01 +2.4997e+00 +4.4716e-01 -9.1852e-02 -3.6991e-01 -2.1768e+00 +1.2637e+00 -1.6214e+00 +2.3776e+00 +2.6972e+00 -2.0419e+00 -1.7612e-01 +1.1091e+00 +1.9036e+00 +2.1804e+00 +8.2787e-01 -9.7605e-01
13490 +1.544717772e+02 +1.544717772e+02 -1.338582228e+02 -1.338582228e+02 -1.9040e+00 -1.9772e+00 +9.4804e-01 -9.7353e-01 +2.2138e+00 -1.2899e+00 -1.0982e+00 -2.7435e-01 -1.2256e+00 +1.2540e+00 -9.0930e-01 +3.0562e+00 +1.0729e+00 -1.9049e-01 -5.6210e-01 -2.6462e-01 +7.4992e-01 +2.7501e+00 -2.7646e+00 +1.3224e+00
% function evaluation | noise-free fitness - Fopt (-5.381100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.215631025e+02 +7.215631025e+02 +1.834531025e+02 +1.834531025e+02 -3.4665e+00 +2.3563e+00 -7.3835e-01 +7.4664e-01 +4.7557e+00 -2.3188e+00 -3.0491e-01 -1.0770e+00 -3.0537e+00 -1.2076e+00 +2.2332e+00 +3.0602e+00 -2.2780e+00 -2.1915e+00 -3.8266e+00 -7.3192e-01 -3.9172e+00 +4.2937e+00 -2.6000e+00 -7.4236e-01
3 +5.934177752e+02 +5.934177752e+02 +5.530777519e+01 +5.530777519e+01 -1.7195e+00 -3.6963e+00 -1.2609e+00 -2.2535e+00 -4.4536e+00 +1.6880e+00 -4.1263e-01 -7.2317e-01 +6.8843e-01 +4.1477e+00 +4.4101e+00 +3.9649e-01 -3.7187e+00 -4.9055e-01 +1.6432e+00 -1.9429e+00 -4.5932e+00 -3.1094e+00 +4.5758e+00 -2.0652e+00
