% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +1.416024677e+07 +1.416024677e+07 +1.415975524e+07 +1.415975524e+07 +8.9046e-01 -3.5381e+00 -7.9383e-01 -4.2228e+00 -1.4779e+00 -3.1773e+00 -4.2746e+00 -4.1653e+00 -1.7744e+00 -1.0701e+00 +1.6770e+00 -1.2247e+00 +4.4517e+00 +4.2665e+00 +4.2282e+00 -1.8399e+00 -2.2583e+00 -5.6620e-01 -4.0826e+00 -8.6785e-01
4 +7.536192460e+06 +7.536192460e+06 +7.535700930e+06 +7.535700930e+06 -2.0402e+00 +3.5601e+00 -4.0574e+00 -2.7614e+00 -1.5722e+00 +4.3910e+00 -3.0320e+00 +4.1927e+00 -4.0638e+00 +1.0091e+00 +4.7157e+00 -3.4135e+00 +2.1486e+00 -4.5557e+00 -4.9109e+00 +7.1039e-01 -4.9029e+00 -2.6862e+00 -4.3305e+00 -1.7339e+00
14 +5.242734538e+06 +5.242734538e+06 +5.242243008e+06 +5.242243008e+06 -1.1889e+00 -2.4605e+00 +4.7720e+00 -2.5176e+00 -3.4212e+00 -3.1927e-02 +2.5009e+00 +2.9186e+00 -2.2816e+00 +4.6110e+00 +1.4322e+00 -2.3537e+00 +3.7916e+00 +4.8314e+00 +3.2802e+00 -3.4274e+00 +2.2370e+00 -3.4086e+00 +1.2007e+00 +1.7652e+00
15 +2.973423125e+06 +2.973423125e+06 +2.972931595e+06 +2.972931595e+06 -7.6792e-01 +1.0706e+00 -3.3242e+00 +6.8739e-01 +1.7368e+00 -5.8379e-01 +8.6863e-01 -1.3956e+00 -4.4256e+00 -4.0304e+00 +2.3550e+00 +3.0190e+00 -3.8199e+00 +4.8661e+00 +2.7043e+00 -1.8954e+00 +8.6928e-01 +2.3497e+00 +3.7493e-02 -4.3960e+00
36 +1.404415738e+06 +1.404415738e+06 +1.403924208e+06 +1.403924208e+06 -1.6107e+00 +5.5128e-01 -2.2904e+00 +3.7785e+00 -2.9067e+00 -3.6256e+00 -5.9213e-01 +1.3604e+00 +1.7558e+00 -1.2155e+00 +1.7918e+00 +4.7958e-01 -1.7423e+00 +2.4727e+00 -3.1948e+00 -1.9435e+00 +4.3176e-01 -4.9099e+00 -1.5703e+00 -3.0690e+00
622 +9.713704162e+05 +9.713704162e+05 +9.708788862e+05 +9.708788862e+05 +1.5100e+00 +3.6473e+00 +1.4508e+00 +2.6340e+00 +2.4724e+00 -2.3127e+00 -1.5113e+00 -1.6992e+00 -1.3332e+00 +2.3282e+00 +4.3217e+00 +1.4162e+00 -2.1718e+00 +3.6873e+00 -2.0572e+00 +2.1299e+00 -2.6717e+00 -2.5186e+00 +3.7502e+00 -4.2439e-01
953 +4.448752277e+05 +4.448752277e+05 +4.443836977e+05 +4.443836977e+05 +2.5048e+00 +4.9854e+00 +5.6033e-01 +4.3147e-02 +3.8494e+00 -2.0401e+00 +2.7991e-01 -1.0125e+00 -1.0618e+00 +2.2295e+00 +5.3096e+00 +4.6044e+00 +1.1210e+00 +4.9034e+00 -6.0976e+00 +7.9091e-01 -3.4664e+00 -9.7551e-01 +4.7163e+00 +8.0902e-01
1212 +2.246596603e+05 +2.246596603e+05 +2.241681303e+05 +2.241681303e+05 -1.3227e+00 +3.4967e+00 -7.2072e-01 -6.3375e-01 +2.3379e+00 -2.7497e+00 +2.2459e+00 +4.5884e-01 -3.4820e-01 +3.0573e-01 +3.8330e+00 +5.5220e+00 -1.4093e+00 +6.5302e+00 -5.7160e+00 -4.1682e-01 -1.7939e+00 -4.0267e-01 +9.9774e-01 -1.9014e+00
2308 +1.454312537e+05 +1.454312537e+05 +1.449397237e+05 +1.449397237e+05 +1.7268e+00 -1.6580e+00 -3.8707e+00 +2.8472e+00 +3.6500e+00 -3.0036e+00 +2.8281e+00 +1.0738e+00 -4.4463e+00 +2.2584e+00 -2.8401e-01 +3.8528e+00 -1.1940e+00 +3.2229e+00 -1.0307e+00 -8.3782e-01 +8.3855e-01 +5.6119e-01 +4.1831e+00 +2.0604e+00
2935 +7.484219439e+04 +7.484219439e+04 +7.435066439e+04 +7.435066439e+04 -1.3607e+00 +2.4814e+00 -2.2839e+00 +4.2664e+00 +4.5342e-01 +4.9187e+00 -2.8672e+00 -3.9022e+00 -1.9921e+00 +5.1302e+00 +7.2292e+00 +2.2676e+00 +1.0380e+00 +6.0291e+00 -8.2007e+00 -2.6895e+00 +2.4147e+00 -7.0297e+00 +3.2774e+00 -3.0823e+00
4014 +5.814610331e+04 +5.814610331e+04 +5.765457331e+04 +5.765457331e+04 +8.0204e-01 +1.3322e+00 -2.6394e+00 +3.1159e-01 +2.8594e+00 -2.3917e+00 +3.7190e-01 +4.0607e+00 -5.4898e+00 -7.8313e-01 +3.1219e+00 +2.3685e+00 -4.8382e+00 +3.8008e+00 -3.1118e+00 -3.1688e-01 +2.8142e+00 -7.9395e-01 +2.0123e+00 -2.5167e+00
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.525934946e+07 +2.525934946e+07 +2.525917926e+07 +2.525917926e+07 +2.4672e+00 -5.4060e-01 +1.7443e+00 +5.6161e-01 -1.7231e+00 +8.9098e-01 +2.9680e-01 -3.1957e+00 -2.6812e+00 -3.9939e+00 -2.4269e+00 -3.3772e+00 +2.8990e+00 +9.3946e-02 -2.1339e+00 -4.8199e+00 -2.8076e+00 +8.9055e-01 -1.0354e-01 +3.2364e-01
3 +1.885974143e+07 +1.885974143e+07 +1.885957123e+07 +1.885957123e+07 -4.5774e+00 +3.5691e+00 -2.7132e+00 +2.8129e+00 -9.9015e-01 -7.3825e-01 +4.9472e+00 -2.2368e+00 +4.6993e+00 +1.7077e+00 -2.1354e+00 -2.1464e+00 +3.0120e+00 +1.6989e+00 -3.6973e+00 +3.3249e+00 -3.1457e+00 -2.9832e+00 +3.5303e+00 +8.6119e-01
