% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
704 +3.518548733e+02 +3.518548733e+02 +3.773248733e+02 +3.773248733e+02 -2.8009e+00 +7.5412e-01 -5.2274e+00 -4.7979e-01 +2.4073e-01 +4.8708e+00 -1.1760e+00 -1.4330e+00 +2.7272e+00 -2.0306e+00 -9.2441e-01 -1.5343e+00 +6.7634e-01 -5.8250e-01 +2.2468e+00 -3.0091e+00 -1.5308e+00 +2.6124e+00 +3.8851e+00 -2.8225e+00
2734 +2.390876162e+02 +2.390876162e+02 +2.645576162e+02 +2.645576162e+02 -2.8865e+00 +1.4678e+00 -1.1071e-01 +1.6037e-01 -2.9192e-01 +4.8480e-02 -1.5013e+00 -1.4555e+00 +2.8845e+00 -3.9390e-01 -2.3204e+00 -1.8961e+00 +1.2530e+00 +6.3645e-01 +3.8977e+00 -3.2449e+00 +6.7995e-01 +5.7678e+00 +1.3009e+00 -9.6860e-01
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.701424750e+02 +9.701424750e+02 +8.693324750e+02 +8.693324750e+02 -4.4980e+00 +2.3953e+00 -3.1238e+00 -5.1644e-01 +2.4416e+00 +1.6167e+00 +4.7580e-01 -2.2854e+00 -4.5422e+00 -2.6153e+00 +1.7547e+00 -3.1985e+00 +4.8079e-01 +3.5337e+00 -2.7169e+00 +3.7547e+00 +2.4110e+00 -3.7758e-01 -1.6272e+00 -3.5879e+00
42 +5.945001806e+02 +5.945001806e+02 +4.936901806e+02 +4.936901806e+02 -5.9958e-01 -1.3783e+00 +1.9210e+00 -3.5451e+00 +3.1084e+00 +5.8754e-01 -1.2018e+00 -2.9545e+00 -3.3793e+00 -3.2580e+00 -1.4918e+00 -9.5808e-01 -1.3105e-01 -1.2439e+00 +4.6408e+00 +9.6016e-01 -2.1270e+00 -1.2746e+00 +1.4516e+00 -1.3728e+00
1070 +3.868718486e+02 +3.868718486e+02 +2.860618486e+02 +2.860618486e+02 +2.0637e+00 +2.6373e-01 +8.6890e-01 +1.1092e+00 +2.2199e+00 -6.0474e-01 -1.2215e+00 -2.3456e+00 -5.0081e+00 -2.9203e+00 -4.8548e-01 -1.7207e+00 -1.5675e+00 -4.8012e-01 +2.1489e+00 +3.6858e+00 +1.5756e+00 -1.2101e-01 +9.0994e-01 +4.3204e+00
2859 +2.382874755e+02 +2.382874755e+02 +1.374774755e+02 +1.374774755e+02 -1.4185e+00 +1.0202e+00 +3.2161e+00 +1.3191e+00 +3.4444e+00 +1.2281e+00 +2.1338e+00 +1.2782e+00 -4.0385e+00 -2.9931e+00 +8.4565e-01 -2.7561e+00 +1.6611e+00 -1.4353e+00 +7.1709e-01 +4.0558e+00 +2.1654e+00 +1.7800e-01 +1.8884e+00 +1.2347e+00
% function evaluation | noise-free fitness - Fopt (8.333000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.352626584e+03 +3.352626584e+03 +3.435956584e+03 +3.435956584e+03 -3.7508e+00 +2.6650e+00 -2.9782e+00 -1.3842e+00 -4.3967e+00 +3.5596e+00 +5.6242e-01 -4.6820e+00 -1.2690e+00 +1.3136e+00 +6.8669e-01 -5.1102e-01 -4.4173e+00 -4.0993e+00 -3.8508e+00 +1.6039e+00 +4.9859e+00 -2.4631e+00 -2.6452e+00 +3.9963e+00
3 +1.772889304e+03 +1.772889304e+03 +1.856219304e+03 +1.856219304e+03 +3.3809e+00 -2.4036e+00 +1.4902e+00 -2.3248e+00 +3.9301e+00 +2.3379e+00 -4.5945e+00 -3.5638e+00 -4.1934e+00 -1.6985e-01 -9.4179e-03 +1.3500e+00 -2.6833e-01 -1.5170e+00 +1.7649e+00 -2.3313e+00 -4.6002e+00 -3.1491e+00 +3.6238e+00 +8.1706e-01
6 +1.511098005e+03 +1.511098005e+03 +1.594428005e+03 +1.594428005e+03 -6.4994e-02 +4.1093e+00 +3.3880e+00 -3.3445e+00 +3.6066e+00 +3.5230e+00 -2.3909e+00 -4.8145e+00 -2.5842e+00 +3.5424e+00 +1.3981e+00 -6.0106e-01 +1.8697e+00 -2.0558e+00 +5.4984e-01 -4.9071e+00 -4.5873e+00 +4.2452e+00 -4.6871e+00 +2.4269e+00
