% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
225 +4.944649037e+01 +4.944649037e+01 +6.825649037e+01 +6.825649037e+01 +1.7818e-02 -1.0843e+00 -2.0803e+00 +2.0198e+00 +3.8720e+00 -4.4377e+00 -1.0070e+00 +1.6421e+00 +3.5773e-01 +2.2478e-01 +3.4148e+00 +1.1585e+00 +6.0804e-01 +2.5060e+00 -2.0004e+00 -1.4993e+00 -5.7697e-01 +1.1825e+00 -1.9515e+00 +5.4537e+00
1143 +3.936183237e+01 +3.936183237e+01 +5.817183237e+01 +5.817183237e+01 +6.8346e-01 -7.5910e-01 +2.5216e-01 +1.7449e+00 +2.2925e+00 -1.6430e+00 -1.7008e+00 +4.6379e+00 -9.1854e-01 +2.5195e+00 -2.5846e+00 +4.1660e+00 +2.9521e+00 -2.6788e+00 -1.9613e+00 -1.9519e+00 -8.9767e-01 -1.5816e+00 -5.2550e+00 +2.9744e+00
2724 +2.090676548e+01 +2.090676548e+01 +3.971676548e+01 +3.971676548e+01 +6.3359e-02 +2.8564e+00 +7.8262e-02 -1.8419e-01 +3.1893e+00 -1.7685e+00 -3.6823e-01 +1.9286e+00 +7.6475e-01 +4.8822e+00 -4.0969e+00 +2.5462e+00 +3.8858e+00 -8.2040e-01 -1.8711e+00 -1.7927e+00 -2.1583e+00 +3.6347e+00 +1.2009e+00 +2.0389e+00
5313 +1.329654607e+01 +1.329654607e+01 +3.210654607e+01 +3.210654607e+01 +5.8860e-01 +1.2634e+00 -1.0202e+00 -1.5485e+00 -9.7221e-01 -2.9359e+00 +3.0724e-01 +1.4760e+00 +1.8268e-01 +3.6171e+00 -4.7000e+00 +1.8708e+00 +4.5770e+00 +3.9610e-01 -3.8546e+00 -2.2964e+00 -2.7270e+00 +3.5428e+00 -1.0751e-01 +3.9750e+00
5941 +9.994215405e+00 +9.994215405e+00 +2.880421540e+01 +2.880421540e+01 +1.4035e+00 +1.4882e+00 -4.6163e-01 +5.5890e-02 +3.1987e-01 -4.1883e+00 +1.2717e+00 +1.1390e+00 +4.1231e-01 +3.0791e+00 -4.6721e+00 +1.7009e+00 +4.4180e+00 +2.0907e+00 -2.6644e+00 -3.6899e+00 -2.6727e+00 +4.5626e+00 +2.8840e+00 +1.2427e+00
10701 +5.392311695e+00 +5.392311695e+00 +2.420231169e+01 +2.420231169e+01 -4.6388e-02 +1.0670e+00 -9.6640e-01 +3.7129e-01 +1.0190e+00 -3.1448e+00 +7.8281e-01 +5.9332e-01 +4.8583e-01 +3.0479e+00 -3.9754e+00 +3.6703e+00 +3.6596e+00 +1.3068e+00 -2.0132e+00 -1.7068e+00 -1.7433e+00 +3.9802e+00 +1.1257e+00 +9.2803e-01
11428 +3.872407821e+00 +3.872407821e+00 +2.268240782e+01 +2.268240782e+01 -1.3510e-01 +1.5787e+00 -8.7737e-01 -1.3371e-01 +1.3006e+00 -3.3993e+00 +2.2331e-01 +1.3412e+00 +1.3926e+00 +3.2461e+00 -3.9591e+00 +3.1617e+00 +3.8970e+00 +2.2096e-01 -2.6735e+00 -2.6558e+00 -2.2310e+00 +3.3982e+00 +8.4011e-01 +1.4519e+00
15552 +2.510596803e+00 +2.510596803e+00 +2.132059680e+01 +2.132059680e+01 +3.2161e-02 +1.6335e+00 -6.2047e-01 -3.5762e-01 +1.0980e+00 -3.3083e+00 +6.3282e-01 +6.5515e-01 +7.4742e-01 +2.8923e+00 -3.8486e+00 +3.4583e+00 +3.8315e+00 +2.0866e-01 -2.7353e+00 -2.4249e+00 -2.2732e+00 +3.5449e+00 +6.1268e-01 +1.2050e+00
20510 +1.418643529e+00 +1.418643529e+00 +2.022864353e+01 +2.022864353e+01 +2.6582e-01 +1.7528e+00 -1.0316e+00 -3.2367e-01 +1.7565e+00 -3.2875e+00 +3.3703e-01 +5.1799e-01 +8.8256e-01 +2.9351e+00 -3.8667e+00 +3.3927e+00 +3.8734e+00 +2.1603e-02 -2.2540e+00 -2.9589e+00 -1.9866e+00 +3.3472e+00 +6.4453e-01 +1.3259e+00
23153 +8.117314042e-01 +8.117314042e-01 +1.962173140e+01 +1.962173140e+01 +1.3670e-03 +1.8279e+00 -9.9174e-01 -1.5432e-01 +1.9501e+00 -3.1916e+00 +2.6693e-01 +5.4406e-01 +7.0258e-01 +2.7803e+00 -3.7989e+00 +3.6748e+00 +3.8930e+00 -4.9765e-02 -2.3276e+00 -3.0136e+00 -1.8630e+00 +3.2500e+00 +5.1846e-01 +1.0917e+00
