% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
128 +5.838434555e+01 +5.838434555e+01 +3.315343456e+02 +3.315343456e+02 -4.4228e+00 +3.4077e+00 -1.6663e+00 +2.1963e+00 -2.1006e+00 +1.1733e+00 -4.8919e+00 +1.1461e+00 -2.6842e+00 +3.0529e+00 -4.0739e+00 +1.4891e+00 -3.4287e+00 +2.7262e+00 +1.2699e+00 -3.7517e+00 -1.9234e+00 -2.8178e+00 +2.1268e-01 -2.7932e-01
279 +3.530400248e+01 +3.530400248e+01 +3.084540025e+02 +3.084540025e+02 -3.4829e+00 +5.0000e+00 -3.1240e+00 +3.6024e+00 +3.3385e+00 -1.2080e+00 +1.5357e-01 -5.0000e+00 -5.0000e+00 +1.6284e+00 +3.5799e-01 +2.6198e+00 -3.6518e+00 +1.9006e+00 +5.0000e+00 -3.9687e+00 +5.0000e+00 +4.1005e+00 +4.5797e+00 -3.1126e+00
1686 +2.270834168e+01 +2.270834168e+01 +2.958583417e+02 +2.958583417e+02 -3.5069e+00 +5.0980e+00 -6.5858e-01 +3.7395e+00 +3.6220e-01 -4.6708e+00 -2.0303e+00 -1.0058e+00 -4.3846e+00 +1.2130e+00 +5.1594e+00 -1.0901e+00 -4.2583e-01 +3.3048e+00 +4.8917e+00 -3.1611e+00 +5.0036e+00 -1.6411e+00 +1.7357e+00 -3.5015e+00
6955 +1.451128401e+01 +1.451128401e+01 +2.876612840e+02 +2.876612840e+02 -1.7555e+00 +4.9754e+00 -8.1144e-02 +1.3543e+00 +1.1390e-01 -5.0000e+00 -2.1475e+00 +8.3660e-01 -4.3963e+00 +1.8382e+00 +3.7566e-01 -1.1229e+00 +1.2903e-01 +1.4611e+00 +4.9711e+00 -2.8431e+00 +5.0000e+00 -8.2548e-02 -1.1917e+00 -3.6038e+00
14212 +9.456961303e+00 +9.456961303e+00 +2.826069613e+02 +2.826069613e+02 -2.8698e+00 +4.6684e+00 +1.5297e-01 +2.9347e+00 +2.1100e+00 -5.1958e+00 -5.3208e-01 -1.7454e+00 -4.4957e+00 +3.9303e+00 +3.6470e-01 -9.0394e-01 -1.3723e+00 +2.9981e+00 +4.6313e+00 -1.3419e+00 +4.9843e+00 -1.6359e-01 +4.3259e-01 -4.1388e+00
18240 +5.696447516e+00 +5.696447516e+00 +2.788464475e+02 +2.788464475e+02 -2.8816e+00 +3.2239e+00 -1.3276e+00 +2.9644e+00 +2.4918e+00 -5.0565e+00 -2.9780e-01 -6.5818e-01 -3.4417e+00 +3.4516e+00 -4.5141e-01 +1.6695e+00 -6.6925e-01 +2.2191e+00 +4.6790e+00 -2.5381e+00 +4.3046e+00 +4.4655e-01 +1.6143e+00 -4.2267e+00
27159 +3.665006943e+00 +3.665006943e+00 +2.768150069e+02 +2.768150069e+02 -2.8144e+00 +3.6318e+00 -7.1823e-01 +3.0001e+00 +1.6022e+00 -4.5209e+00 -7.2239e-01 -1.6853e+00 -3.1594e+00 +3.6659e+00 -2.1624e-01 +8.9363e-01 -9.6403e-01 +2.4186e+00 +4.7068e+00 -2.1296e+00 +3.8760e+00 +3.3626e-01 +1.8923e+00 -4.6626e+00
38037 +2.489340014e+00 +2.489340014e+00 +2.756393400e+02 +2.756393400e+02 -2.6930e+00 +3.4467e+00 -8.6466e-01 +3.1450e+00 +1.6050e+00 -4.6898e+00 -2.8295e-01 -2.1996e+00 -2.9050e+00 +3.6434e+00 -5.2605e-01 +1.2247e+00 -9.4723e-01 +2.4231e+00 +4.3675e+00 -3.4158e+00 +4.1135e+00 +1.8291e-01 +1.8802e+00 -4.3834e+00
46531 +1.462150684e+00 +1.462150684e+00 +2.746121507e+02 +2.746121507e+02 -2.5429e+00 +3.5382e+00 -4.9115e-01 +2.8740e+00 +1.4740e+00 -4.8672e+00 -4.2179e-01 -1.9027e+00 -2.9580e+00 +3.4201e+00 -4.0368e-01 +1.0760e+00 -6.5554e-01 +2.2599e+00 +4.4922e+00 -2.8976e+00 +4.1567e+00 +2.7200e-01 +1.7047e+00 -4.4076e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.969174922e+01 +9.969174922e+01 +1.368717492e+02 +1.368717492e+02 +2.6480e+00 +6.6218e-01 +6.6404e-01 -1.4415e+00 -3.6371e-02 -5.2439e-01 +2.9665e+00 +8.5211e-01 +8.0734e-02 +2.8640e+00 +8.9185e-01 -2.2212e+00 -4.9246e+00 -2.8697e+00 +3.7014e+00 -1.3815e+00 -2.1765e+00 +4.8140e+00 +1.7428e+00 +1.1689e+00
12 +5.783040959e+01 +5.783040959e+01 +9.501040959e+01 +9.501040959e+01 -9.9168e-01 +1.1645e+00 +3.1431e+00 -4.3339e+00 -1.3021e+00 +8.0105e-01 -1.5564e+00 -9.2953e-01 -4.2514e+00 +7.2240e-01 -4.6181e+00 +3.7125e+00 +4.0200e+00 +3.4825e+00 +3.0691e+00 +2.7693e+00 +1.3597e+00 +1.1208e+00 -1.6919e+00 -4.8887e-01
644 +3.755223347e+01 +3.755223347e+01 +7.473223347e+01 +7.473223347e+01 -1.1046e+00 -1.2208e+00 +9.0466e-01 -2.8848e+00 +3.5085e-01 -9.2467e-01 -2.6133e-01 +3.3829e-01 +2.9598e+00 +7.6337e-01 -7.8971e-01 +3.4384e+00 +4.7068e+00 +4.9899e+00 +1.6153e+00 +2.2271e+00 -2.5531e+00 -1.0681e-01 -3.1271e+00 +1.7305e+00
4373 +2.424672781e+01 +2.424672781e+01 +6.142672781e+01 +6.142672781e+01 -1.7544e+00 +6.1171e-01 +3.8985e+00 +1.3788e+00 -4.2016e+00 -7.9806e-01 -2.7980e+00 -1.0906e+00 +1.5211e-01 +1.8576e+00 +2.2528e+00 -3.1594e-01 +3.3023e+00 +2.6979e+00 +1.4477e+00 -4.2789e-01 -3.3235e+00 -2.9076e-01 -1.7763e+00 +9.6341e-01
12642 +1.557872554e+01 +1.557872554e+01 +5.275872554e+01 +5.275872554e+01 -2.5127e+00 +1.5546e+00 +1.7815e+00 -1.7636e-01 -4.2152e+00 -7.6203e-01 -1.3425e+00 -3.0884e+00 -3.0674e+00 +3.9206e+00 -4.9017e-01 -1.0646e+00 +2.2709e+00 -1.3914e+00 +3.5391e+00 -2.4927e-01 -1.5902e+00 -1.2930e+00 -1.7117e+00 -1.4596e+00
20962 +9.859965246e+00 +9.859965246e+00 +4.703996525e+01 +4.703996525e+01 -3.8094e+00 +1.9155e+00 +2.0425e+00 -1.1348e-01 -2.6083e+00 -1.1836e+00 +9.2068e-01 -3.4952e+00 +4.9259e-02 +3.4722e+00 -4.8543e-01 -2.3057e+00 +1.3130e+00 -2.1134e+00 +2.7668e+00 +4.9627e-01 -3.1630e-01 -1.8284e+00 -2.1137e+00 -5.2184e-02
25948 +6.038971728e+00 +6.038971728e+00 +4.321897173e+01 +4.321897173e+01 -3.7264e+00 +2.2375e+00 +1.6331e+00 +2.0283e+00 -3.9889e+00 -1.8400e+00 +4.1995e-01 -3.1170e+00 -2.2577e+00 +3.0470e+00 +4.5380e-01 -2.4544e+00 +1.1503e+00 -2.5241e+00 +2.7172e+00 +9.3701e-01 +4.7213e-01 -1.1134e+00 -2.6115e+00 +4.6502e-01
33023 +3.079004888e+00 +3.079004888e+00 +4.025900489e+01 +4.025900489e+01 -3.5951e+00 +2.0718e+00 +1.8577e+00 +1.1562e+00 -3.9578e+00 -1.5140e+00 +3.8433e-01 -2.8617e+00 -1.9079e+00 +3.3618e+00 -2.1744e-01 -2.8145e+00 +1.3722e+00 -2.8376e+00 +3.2404e+00 +7.8320e-01 +4.4110e-02 -1.6879e+00 -3.1031e+00 +1.5191e+00
41707 +2.310302036e+00 +2.310302036e+00 +3.949030204e+01 +3.949030204e+01 -3.6154e+00 +1.7308e+00 +1.9695e+00 +1.2132e+00 -3.6917e+00 -9.6483e-01 -4.7447e-02 -3.0654e+00 -1.6578e+00 +3.5627e+00 -1.3415e-01 -3.3319e+00 +1.8533e+00 -3.0672e+00 +3.0460e+00 +6.2293e-01 -3.0742e-02 -1.5229e+00 -2.8205e+00 +1.5262e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.588706492e+01 +9.588706492e+01 -5.201293508e+01 -5.201293508e+01 +2.1446e+00 +2.3526e-01 -2.4182e+00 -3.5117e+00 -3.7708e+00 -4.3789e+00 +1.2060e-01 +8.8759e-01 -3.7339e+00 +3.8198e-01 +4.2337e+00 -1.4594e+00 -3.7640e+00 +5.0460e-01 +2.3057e+00 -5.1203e-01 -6.8427e-01 -1.2334e+00 +3.4003e-01 -3.4354e+00
12 +4.165491402e+01 +4.165491402e+01 -1.062450860e+02 -1.062450860e+02 +6.9080e-01 -1.4497e+00 -1.3724e+00 -4.9071e-01 -1.4426e+00 +8.7256e-01 -1.5033e+00 -4.2912e-01 +2.7910e-01 +7.6272e-01 -8.9243e-01 +3.4824e+00 +2.4524e+00 -3.8840e-01 +1.8510e+00 -2.6885e+00 -3.8854e+00 +2.8696e+00 -4.5997e+00 +4.9934e+00
62 +3.213548050e+01 +3.213548050e+01 -1.157645195e+02 -1.157645195e+02 -3.4019e+00 -4.6585e-01 +5.9843e-01 -5.0000e+00 +5.0000e+00 +4.1439e+00 -2.9644e-01 -3.7837e+00 -1.4044e+00 +8.6359e-01 +1.9746e-02 +3.6130e+00 +3.7204e+00 +1.0766e+00 +1.9208e+00 -1.5583e+00 -1.8288e+00 -8.8076e-01 -1.2226e+00 +3.2132e+00
4032 +2.264003186e+01 +2.264003186e+01 -1.252599681e+02 -1.252599681e+02 -3.3623e-01 -1.3301e+00 +7.1108e-01 -1.4585e+00 -3.3287e+00 +9.6965e-01 -1.3183e+00 -2.3235e+00 -4.7081e+00 +7.2407e-01 -1.9479e+00 +1.4928e+00 -2.8818e+00 -1.9328e+00 +8.6439e-01 +7.9556e-01 -4.1263e+00 -9.7618e-01 -4.1774e+00 +1.0800e+00
8746 +1.538193857e+01 +1.538193857e+01 -1.325180614e+02 -1.325180614e+02 -9.9879e-01 -4.0633e+00 -8.3838e-01 +1.0636e+00 -1.8201e+00 +1.2264e+00 -3.4137e+00 -7.0947e-01 -4.6541e+00 +1.0739e+00 -2.5125e+00 +4.7758e+00 -1.4907e+00 -4.3334e+00 +7.4211e-01 +1.4464e+00 -1.1157e+00 -1.1657e+00 -2.6780e+00 +2.5658e+00
17504 +8.123071730e+00 +8.123071730e+00 -1.397769283e+02 -1.397769283e+02 -1.2356e+00 +2.4608e-01 +1.5896e+00 -1.5841e+00 -2.9491e+00 +1.1905e+00 -3.0460e+00 -2.8050e+00 -3.8553e+00 +2.5570e+00 -3.4554e+00 +3.7111e+00 -1.7963e+00 -3.7331e+00 +1.3431e+00 +1.5996e+00 -3.5620e+00 -3.6617e+00 -2.1763e+00 +2.5200e+00
27309 +6.192093150e+00 +6.192093150e+00 -1.417079068e+02 -1.417079068e+02 -1.9513e+00 -1.8402e-01 +8.8714e-01 -1.2869e+00 -3.2261e+00 +1.4988e+00 -1.9193e+00 -2.6873e+00 -3.4134e+00 +2.3971e+00 -3.0362e+00 +3.6964e+00 -9.1102e-04 -3.3415e+00 +1.6247e+00 +3.4186e+00 -4.0721e+00 -2.5608e+00 -2.2418e+00 +3.0183e+00
31812 +3.951968788e+00 +3.951968788e+00 -1.439480312e+02 -1.439480312e+02 -1.7365e+00 -6.4196e-01 +1.5331e+00 -8.1213e-01 -3.6684e+00 +1.6614e+00 -2.3756e+00 -1.9781e+00 -3.5675e+00 +2.1776e+00 -3.1248e+00 +3.6370e+00 -6.0958e-01 -3.1979e+00 +1.8434e+00 +3.1640e+00 -4.1720e+00 -2.4990e+00 -3.1192e+00 +3.2769e+00
43843 +2.481344952e+00 +2.481344952e+00 -1.454186550e+02 -1.454186550e+02 -1.9004e+00 -1.0688e-01 +6.4050e-01 -1.3538e+00 -3.3836e+00 +1.6492e+00 -2.2361e+00 -2.6687e+00 -3.5403e+00 +1.8925e+00 -3.5262e+00 +3.9830e+00 -1.2260e-01 -3.6380e+00 +1.9878e+00 +2.6152e+00 -3.9057e+00 -2.7480e+00 -3.0796e+00 +3.1976e+00
% function evaluation | noise-free fitness - Fopt (-2.218900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.155324917e+02 +1.155324917e+02 -1.063575083e+02 -1.063575083e+02 +3.6429e+00 -1.1283e-01 -2.7156e+00 -3.9745e+00 -4.7617e+00 -1.7677e+00 +1.1089e+00 -1.6334e+00 +3.6027e+00 +1.6879e+00 -4.1098e+00 -2.6729e+00 -4.4109e+00 -8.6307e-01 +4.2649e+00 -1.9379e+00 -4.8630e+00 -2.5579e+00 +4.5648e-01 -2.8547e+00
2 +9.940621344e+01 +9.940621344e+01 -1.224837866e+02 -1.224837866e+02 +4.0719e+00 +1.7070e+00 +3.3685e+00 +2.4426e+00 +1.2293e+00 +2.6596e+00 +4.0320e+00 -1.0118e+00 -2.7063e+00 +1.1494e+00 -1.3077e+00 -3.6178e+00 -3.1177e+00 -4.8682e+00 +1.2114e+00 -4.8847e+00 -2.9514e+00 -3.4487e+00 -3.7244e-01 +2.7052e+00
46 +5.544556044e+01 +5.544556044e+01 -1.664444396e+02 -1.664444396e+02 +4.0126e-01 +2.9368e+00 +3.5401e+00 +4.4012e-01 -1.0308e+00 -1.2606e+00 -3.1070e-01 -4.2339e-02 -1.6089e+00 -3.1226e+00 +5.0000e+00 -1.0611e-01 -7.4900e-02 -5.0000e+00 -1.4247e+00 -1.0736e+00 -5.0000e+00 +5.0000e+00 -4.4797e-01 -2.2298e+00
