% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9001 +3.924981792e+00 +3.924981792e+00 -4.520501821e+01 -4.520501821e+01 +1.7656e+00 +3.7517e+00 +2.8282e+00 -1.3551e-01 +4.3015e+00 +2.8593e+00 -2.6393e+00 +4.6671e+00 +3.0277e+00 +3.8209e+00 -3.4997e+00 -9.3114e-01 +3.0020e+00 +3.7884e+00 +1.6652e+00 +5.5280e-01 +2.7114e+00 -2.2791e+00 -1.1490e+00 -2.1275e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.543803266e+01 +8.543803266e+01 +3.831680327e+02 +3.831680327e+02 +2.2126e+00 -2.3792e+00 +1.7292e+00 -3.1509e+00 -2.1417e+00 +2.8121e+00 +2.0324e+00 -1.9501e+00 +5.2259e-01 +4.5825e+00 -1.7775e+00 +3.4459e+00 -1.8670e+00 +2.6657e-01 +2.2728e+00 +3.1661e+00 +3.1499e+00 +4.2788e+00 +2.0247e+00 +3.6566e+00
1508 +6.224868453e+01 +6.224868453e+01 +3.599786845e+02 +3.599786845e+02 -3.6982e+00 +5.2735e+00 +2.9397e+00 +5.7668e-01 +2.2552e+00 -1.6861e+00 -1.6567e+00 -6.0594e-01 +3.0710e+00 -1.0589e+00 +2.1297e+00 +5.6802e-01 -7.6122e-01 +2.8906e-01 +2.7539e+00 -1.2669e+00 -3.3835e-01 -8.9089e-01 -3.4036e+00 +3.2453e+00
3024 +3.892653940e+01 +3.892653940e+01 +3.366565394e+02 +3.366565394e+02 -1.4406e+00 +3.8309e+00 +5.1584e-01 -3.0997e+00 +2.7506e+00 -2.1124e+00 -1.8452e+00 +8.2547e-01 +9.0734e-01 -4.2767e+00 +3.2234e+00 +2.4561e+00 -5.6349e-01 -2.0743e+00 +2.6138e+00 +2.0820e+00 -5.4650e-01 -6.9864e-02 -3.2443e+00 +8.8227e-01
3218 +2.426570768e+01 +2.426570768e+01 +3.219957077e+02 +3.219957077e+02 -3.0547e+00 +4.2907e+00 +2.5746e+00 -2.9135e+00 +4.0795e+00 -1.2530e+00 -3.6843e-01 +2.2817e+00 +2.4198e+00 -3.4201e+00 -2.6988e-02 +3.5194e+00 +1.2230e-01 -2.3153e-02 +4.2163e+00 +1.3353e+00 -1.3715e+00 +1.3900e+00 -3.8588e+00 +4.4048e+00
3534 +1.382852994e+01 +1.382852994e+01 +3.115585299e+02 +3.115585299e+02 -1.4575e+00 +3.5962e+00 +2.1073e+00 -3.2620e+00 +4.4510e+00 -1.5828e+00 +4.2455e-02 +1.3597e+00 +7.6484e-01 -4.7687e+00 -7.0316e-01 +2.3947e+00 +2.5854e-01 -1.2956e+00 +5.0802e+00 +2.8287e+00 +1.8142e+00 +1.6115e-01 -3.1637e+00 +2.8819e+00
3843 +8.532978803e+00 +8.532978803e+00 +3.062629788e+02 +3.062629788e+02 -1.4731e+00 +3.6375e+00 +4.4746e-01 -8.3313e-01 +2.4104e+00 -2.0810e+00 -1.1554e+00 -4.2000e-01 +1.2689e+00 -3.3749e+00 -3.5716e-01 +3.5550e+00 +2.3764e-01 -1.3249e-02 +2.9034e+00 +1.1794e+00 +8.4812e-01 +4.0650e-01 -3.6528e+00 +3.0453e+00
4201 +5.777439409e+00 +5.777439409e+00 +3.035074394e+02 +3.035074394e+02 -1.7104e+00 +3.3582e+00 -5.1321e-01 -3.0752e+00 +3.8540e+00 -1.7996e+00 +1.0605e-01 +2.5866e-01 +1.7034e+00 -3.7555e+00 -1.3055e+00 +2.4939e+00 +1.2494e+00 -1.6301e-01 +3.8981e+00 +1.1163e+00 -1.4310e-01 -2.1752e-01 -4.5608e+00 +2.9384e+00
5141 +3.657031895e+00 +3.657031895e+00 +3.013870319e+02 +3.013870319e+02 -1.7211e+00 +4.0339e+00 +4.4744e-01 -2.3505e+00 +3.9788e+00 -2.8904e+00 +2.7664e-01 +9.5486e-01 +7.6532e-01 -2.9400e+00 -3.0731e-01 +2.4130e+00 +2.8413e-01 +1.1681e-01 +2.5857e+00 +7.3177e-01 +1.0678e+00 +6.8639e-01 -4.5132e+00 +2.3964e+00
