% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2854 +6.979496004e+01 +6.979496004e+01 +1.069794960e+03 +1.069794960e+03 +1.7192e+00 +1.7174e+00 -4.8232e-01 +5.2923e-02 -6.1280e-01 +1.5748e+00 -9.7056e-01 -1.6468e-01 +3.5410e-01 -1.8284e+00 -9.0913e-01 -2.0902e+00 -1.2902e+00 -1.0263e+00 -8.4046e-01 -6.5120e-01 -1.5215e+00 -2.4850e+00 -1.9854e+00 +1.1502e+00
3127 +4.097303504e+00 +4.097303504e+00 +1.004097304e+03 +1.004097304e+03 +4.6137e-01 +9.3900e-01 +3.8272e-01 -8.5473e-01 -1.4334e+00 +2.3299e+00 -1.7248e+00 +1.0357e+00 -1.3238e+00 -1.5107e-01 -6.1988e-01 -2.2657e+00 -1.3444e+00 -3.7643e-01 -1.0127e+00 -8.6086e-01 -2.2275e+00 -8.1970e-01 -2.2119e+00 +1.3255e+00
3536 +3.884401733e+00 +3.884401733e+00 +1.003884402e+03 +1.003884402e+03 +4.6366e-01 +2.1148e+00 -9.4040e-01 +6.2748e-01 -1.6764e+00 +2.1751e+00 -1.3003e+00 +1.9372e+00 -1.3294e+00 -6.5002e-01 -2.0947e+00 -7.9374e-01 -2.0168e+00 -1.2191e+00 -1.1928e+00 -1.3360e+00 -8.5938e-01 -2.0464e+00 -1.5015e+00 +1.8883e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.368889294e+04 +8.368889294e+04 +8.389727294e+04 +8.389727294e+04 -3.9961e+00 -3.0053e+00 +4.3707e+00 -1.9477e+00 +3.5992e+00 +3.7411e+00 +3.0887e+00 -2.3154e+00 -2.7144e+00 +3.8494e+00 +1.0628e+00 +3.6921e+00 +1.1717e+00 +2.3884e-01 +4.4067e+00 +6.8168e-01 +2.8752e-01 +3.2218e+00 -2.8271e+00 -7.4982e-01
84 +3.723273927e+04 +3.723273927e+04 +3.744111927e+04 +3.744111927e+04 -3.7662e+00 -3.1084e+00 -4.1576e+00 +7.9657e-01 -1.0221e-02 +1.8998e+00 +1.7790e+00 -7.5261e-01 -1.5144e+00 +1.9965e+00 -1.8339e-01 +2.7050e+00 -6.0903e-01 +4.4637e-01 +1.3981e+00 -5.4502e-01 -1.1923e+00 +1.8739e+00 +4.1808e+00 -1.0840e+00
328 +2.352089251e+04 +2.352089251e+04 +2.372927251e+04 +2.372927251e+04 -2.4218e+00 -4.0286e+00 -1.3349e+00 +3.3261e+00 +4.5079e-01 +1.6660e+00 +3.4212e+00 -3.1370e+00 -2.0165e+00 +9.4721e-02 -7.2109e-01 +3.6287e+00 -2.7052e-01 -7.2339e-01 -6.1766e-01 -3.2563e-01 -1.7786e-01 +4.4558e+00 +3.5345e-01 +3.2961e+00
664 +8.264669711e+03 +8.264669711e+03 +8.473049711e+03 +8.473049711e+03 -2.4774e+00 +1.3089e+00 +1.6122e+00 +2.0043e+00 +3.6530e-01 +4.5080e+00 +6.3389e-01 +3.4172e+00 +2.3575e+00 +2.8468e+00 +1.8125e+00 -3.0664e-01 -8.4223e-01 -4.1854e-02 +1.6533e+00 -8.3250e-01 +2.9737e+00 +8.5688e-02 +2.2626e+00 +3.0960e+00
928 +6.001539569e+03 +6.001539569e+03 +6.209919569e+03 +6.209919569e+03 -3.6643e+00 +3.2222e+00 -3.1584e-01 -7.6374e-02 +1.1546e+00 +3.2254e+00 -7.2691e-02 +5.5161e-01 -1.1724e+00 +1.7481e+00 +2.3685e+00 -8.4923e-01 -2.7275e+00 -4.2877e-01 +2.4252e+00 -2.9303e+00 -8.5657e-01 +2.3597e+00 +1.4853e+00 +2.1405e+00
1729 +3.967279835e+03 +3.967279835e+03 +4.175659835e+03 +4.175659835e+03 -2.8295e+00 +2.8678e+00 -1.9413e+00 -4.2070e-01 -6.9422e-02 +3.3517e+00 -5.9899e-01 +1.3446e+00 -6.4130e-01 +1.5918e-01 +1.5687e+00 +3.1980e-01 -1.7225e+00 -1.6448e+00 +9.4349e-01 -3.7713e+00 +1.8495e+00 +7.8921e-01 +2.0455e+00 +2.1809e+00
2001 +1.840304465e+03 +1.840304465e+03 +2.048684465e+03 +2.048684465e+03 -3.4857e+00 +2.7117e+00 -1.7168e+00 +4.2264e-01 -2.3503e-01 +4.1295e+00 -4.8891e-01 +1.1856e+00 -2.2960e-02 +1.4038e+00 +1.8865e+00 +5.9126e-02 -2.1506e+00 -2.4435e+00 +5.9746e-01 -2.8806e+00 +1.9848e-01 +1.3209e+00 +9.5573e-01 +7.5461e-01
2202 +1.378771654e+03 +1.378771654e+03 +1.587151654e+03 +1.587151654e+03 -1.3810e-01 +1.0711e+00 -2.4134e+00 +7.3097e-01 +3.3115e+00 +5.1128e-01 +2.7196e+00 +1.2115e+00 -1.0685e+00 +9.4441e-01 +6.8429e-01 -5.7232e-01 -1.9121e+00 +3.0165e-01 +9.5984e-01 -1.7641e+00 +4.6553e-01 +9.2786e-01 +1.3938e+00 +1.7285e+00
2510 +8.616006857e+00 +8.616006857e+00 +2.169960069e+02 +2.169960069e+02 -9.7657e-01 -1.9661e-01 +8.9511e-01 -4.7233e-01 +1.1013e+00 +1.3257e+00 -1.7014e-01 +2.3476e+00 -1.1742e-01 +2.6703e+00 +5.2096e-01 +1.1500e+00 -2.3825e+00 -1.6275e+00 +3.4597e-01 -2.1040e+00 +2.2969e+00 +8.9903e-01 +1.4257e+00 +2.2664e+00
