% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.088442951e+02 +1.088442951e+02 +3.819942951e+02 +3.819942951e+02 -1.4563e+00 +3.5494e+00 +1.1785e+00 -1.4748e+00 +6.1756e-01 -4.4858e+00 +5.8018e-01 -2.0941e+00 -2.8425e+00 +1.4184e+00 -4.7800e-01 +9.0779e-01 -5.2458e-01 +1.3697e+00 -3.2390e+00 -2.1539e+00 -1.3693e+00 +2.2057e+00 -4.2459e+00 +3.4834e+00
85 +8.462957463e+01 +8.462957463e+01 +3.577795746e+02 +3.577795746e+02 +6.2553e-01 -2.8840e+00 +2.0273e+00 -6.7456e-01 -1.0397e+00 -4.9101e+00 +2.1387e+00 -5.0000e+00 -2.8473e+00 +3.9055e+00 +2.3440e+00 +5.0000e+00 -5.0000e+00 +2.0189e+00 +2.2724e+00 -1.4272e+00 +5.0000e+00 -2.5878e+00 -5.0000e+00 -6.6569e-01
216 +6.024871567e+01 +6.024871567e+01 +3.333987157e+02 +3.333987157e+02 +0.0000e+00 -3.9040e+00 -3.7660e-01 +3.5407e-01 +1.8120e+00 -1.0013e+00 -1.3953e+00 -1.9763e+00 -4.3855e+00 +5.0000e+00 +3.7243e+00 +3.3220e+00 +6.6914e-01 +1.8063e+00 -2.4593e+00 -3.1539e+00 +4.4056e+00 +1.8633e+00 -2.9910e+00 -3.1000e+00
284 +3.961588225e+01 +3.961588225e+01 +3.127658822e+02 +3.127658822e+02 -2.2014e+00 +9.2926e-01 -4.8385e+00 +3.1442e+00 +2.6932e+00 +7.2085e-02 +3.4826e+00 -4.3942e+00 -4.1362e+00 +5.0000e+00 +4.1786e+00 +2.6296e+00 +1.7776e+00 +3.1669e+00 -2.2405e+00 -2.3844e+00 +3.8281e+00 +2.4212e+00 -5.3548e-01 -3.6502e+00
715 +2.268586309e+01 +2.268586309e+01 +2.958358631e+02 +2.958358631e+02 -5.0000e+00 +1.3440e+00 -1.8686e+00 +1.5564e+00 +3.2671e+00 -4.0839e+00 -2.6646e+00 -5.0000e+00 -4.7818e+00 +4.8733e+00 +7.0966e-01 +2.7832e+00 -1.8936e+00 -6.5683e-01 -3.4661e-01 +1.3612e+00 +2.3315e+00 +2.6486e+00 +3.6302e+00 -4.9564e+00
1697 +1.416617318e+01 +1.416617318e+01 +2.873161732e+02 +2.873161732e+02 -4.9194e+00 +3.6052e+00 -1.5716e+00 +2.1367e+00 +2.5211e+00 -5.0000e+00 -1.9451e+00 -4.8552e+00 -4.9372e+00 +4.1707e+00 -3.0303e-01 +6.5748e-01 -1.9152e+00 +2.1318e+00 +1.9388e+00 +1.1775e+00 +3.2705e+00 +1.5058e+00 +1.4597e+00 -4.9995e+00
3327 +9.999984332e+00 +9.999984332e+00 +2.831499843e+02 +2.831499843e+02 -4.8854e+00 +3.8437e+00 -1.2920e+00 +2.6772e+00 +2.4790e+00 -5.0000e+00 -1.1971e+00 -4.8868e+00 -4.8278e+00 +3.9059e+00 +5.0353e-02 +6.8450e-01 -1.9047e+00 +1.6588e+00 +2.3587e+00 +1.3892e+00 +2.9147e+00 +1.4903e+00 +1.2262e+00 -5.0000e+00
21093 +6.222388815e+00 +6.222388815e+00 +2.793723888e+02 +2.793723888e+02 -4.8992e+00 +3.6520e+00 -1.4114e+00 +2.5407e+00 +2.4227e+00 -5.0000e+00 -1.2042e+00 -4.8151e+00 -4.8357e+00 +3.8557e+00 +2.4260e-02 +7.7129e-01 -1.7229e+00 +1.6717e+00 +2.3029e+00 +1.3886e+00 +2.9157e+00 +1.5596e+00 +1.2297e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.514125764e+02 +3.514125764e+02 +3.885925764e+02 +3.885925764e+02 +1.5697e+00 -4.6300e+00 +3.7836e+00 -3.4503e+00 -2.8673e+00 -3.0644e+00 +7.0188e-01 +4.3274e-01 -1.2422e+00 -1.8061e+00 +3.3061e-02 -4.5284e+00 -3.6734e-01 -3.1587e+00 -1.5229e+00 -3.1463e+00 +1.6659e+00 -3.7922e+00 -1.7552e+00 -1.2879e+00
2 +8.308722218e+01 +8.308722218e+01 +1.202672222e+02 +1.202672222e+02 -2.3312e+00 -4.7297e+00 +1.9762e+00 -3.0387e+00 -1.8839e+00 +1.2138e+00 +2.3692e+00 +4.7361e+00 -4.5597e+00 -5.2110e-01 -1.0881e+00 +3.1666e-01 +4.7743e+00 +2.1604e+00 +8.0097e-01 +9.4293e-01 +3.1858e+00 -1.1745e+00 +1.1673e+00 +4.3801e+00
4 +4.556972670e+01 +4.556972670e+01 +8.274972670e+01 +8.274972670e+01 -4.2178e+00 +4.7459e+00 +1.0292e+00 -3.8152e+00 -4.4935e+00 +3.6948e+00 +2.1861e+00 -5.8059e-01 -1.3228e+00 +2.3322e+00 +4.5802e+00 -1.1110e+00 +8.5104e-02 +1.5763e+00 +2.8106e+00 +7.0142e-01 +3.7000e-01 -2.6725e+00 -1.8008e-01 +4.8147e+00
10 +3.643796235e+01 +3.643796235e+01 +7.361796235e+01 +7.361796235e+01 -1.1370e+00 -1.1474e-01 +1.8264e+00 -4.1799e+00 -1.7861e+00 -2.6990e+00 -2.4712e+00 -2.8608e-01 +2.7382e+00 +3.2164e+00 +2.7766e+00 +2.3210e+00 +1.8395e+00 -8.5026e-01 +4.8637e-01 +3.6576e+00 +2.6481e+00 -1.2917e+00 -2.5058e+00 +2.9257e+00
